本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 11/40 盘：法兰西式，白方 v4，黑方 material =====
4. v4：e5 | 深度 4 | 5.00 秒
26... v4：a6 | 深度 4 | 5.00 秒
27. material：Rd1 | 深度 4 | 5.00 秒
27... v4：h5 | 深度 4 | 5.00 秒
28. material：Rd3 | 深度 4 | 5.00 秒
28... v4：f6 | 深度 4 | 5.00 秒
29. material：Bd2 | 深度 5 | 3.90 秒
29... v4：fxe5 | 深度 5 | 3.89 秒
30. material：Rxe5 | 深度 5 | 3.80 秒
30... v4：Nc4 | 深度 5 | 4.10 秒
31. material：Rxh5 | 深度 4 | 5.00 秒
31... v4：g6 | 深度 4 | 5.00 秒
32. material：Re5 | 深度 5 | 3.14 秒
32... v4：Nxe5 | 深度 5 | 4.63 秒
33. material：dxe5 | 深度 5 | 1.74 秒
33... v4：Rc8 | 深度 4 | 5.00 秒
34. material：Ke3 | 深度 4 | 5.00 秒
34... v4：Rfd8 | 深度 4 | 5.00 秒
35. material：Rd4 | 深度 5 | 2.78 秒
35... v4：Rc4 | 深度 5 | 4.61 秒
36. material：Kd3 | 深度 5 | 1.76 秒
36... v4：a5 | 深度 4 | 5.00 秒
37. material：bxa5 | 深度 5 | 1.95 秒
37... v4：Bxa3 | 深度 4 | 5.00 秒
38. material：Rxc4 | 深度 5 | 1.87 秒
38... v4：dxc4+ | 深度 5 | 1.59 秒
39. material：Kc2 | 深度 5 | 0.71 秒
39... v4：Ra8 | 深度 5 | 2.80 秒
40. material：a6 | 深度 5 | 0.44 秒
40... v4：Bc5 | 深度 5 | 1.79 秒
41. material：a7 | 深度 5 | 0.71 秒
41... v4：Bf2 | 深度 5 | 3.28 秒
42. material：g4 | 深度 5 | 0.76 秒
42... v4：Rxa7 | 深度 5 | 1.73 秒
43. material：h5 | 深度 5 | 0.75 秒
43... v4：gxh5 | 深度 5 | 2.37 秒
44. material：gxh5 | 深度 5 | 0.99 秒
44... v4：Rh7 | 深度 5 | 3.73 秒
45. material：h6 | 深度 5 | 0.73 秒
45... v4：Rxh6 | 深度 5 | 2.14 秒
46. material：Kd1 | 深度 5 | 1.16 秒
46... v4：Bg3 | 深度 5 | 2.40 秒
47. material：Ke2 | 深度 5 | 0.60 秒
47... v4：Rh2+ | 深度 5 | 1.24 秒
48. material：Kf3 | 深度 5 | 0.29 秒
48... v4：Rxd2 | 深度 5 | 0.97 秒
49. material：Kxg3 | 深度 5 | 0.17 秒
49... v4：Rd3+ | 深度 5 | 0.76 秒
50. material：Kf2 | 深度 5 | 0.14 秒
50... v4：Rxc3 | 深度 5 | 0.86 秒
51. material：Ke2 | 深度 5 | 0.14 秒
51... v4：b4 | 深度 5 | 0.78 秒
52. material：Kd2 | 深度 5 | 0.34 秒
52... v4：Rf3 | 深度 5 | 0.77 秒
53. material：Ke2 | 深度 5 | 0.13 秒
53... v4：Rxf4 | 深度 5 | 0.73 秒
54. material：Ke3 | 深度 5 | 0.14 秒
54... v4：b3 | 深度 5 | 0.90 秒
55. material：Kd2 | 深度 5 | 0.41 秒
55... v4：b2 | 深度 5 | 1.00 秒
56. material：Kc2 | 深度 5 | 0.27 秒
56... v4：c3 | 深度 5 | 0.83 秒
57. material：Kb1 | 深度 5 | 0.51 秒
57... v4：Rf1+ | 深度 5 | 1.26 秒
58. material：Kc2 | 深度 5 | 0.25 秒
58... v4：Rf3 | 深度 5 | 1.97 秒
59. material：Kb1 | 深度 5 | 0.45 秒
59... v4：Rf1+ | 深度 5 | 1.19 秒
60. material：Kc2 | 深度 5 | 0.24 秒
60... v4：Rc1+ | 深度 5 | 2.60 秒
61. material：Kd3 | 深度 5 | 0.24 秒
61... v4：b1=Q+ | 深度 5 | 2.23 秒
62. material：Kd4 | 深度 5 | 1.65 秒
62... v4：c2 | 深度 4 | 5.00 秒
63. material：Ke4 | 深度 5 | 1.38 秒
63... v4：Rf1 | 深度 4 | 5.00 秒
64. material：Kd4 | 深度 5 | 2.03 秒
64... v4：Qb3 | 深度 4 | 5.00 秒
65. material：Kc5 | 深度 5 | 1.89 秒
65... v4：Rd1 | 深度 4 | 5.00 秒
66. material：Kc6 | 深度 5 | 1.65 秒
66... v4：c1=Q# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_06.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 0
和棋： 1
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_06
