本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
59. v4：Kb5 | 深度 5 | 1.12 秒
59... material：Rb7+ | 深度 5 | 2.63 秒
60. v4：Kc6 | 深度 5 | 0.80 秒
60... material：Rxb2 | 深度 5 | 1.04 秒
61. v4：Nxg7 | 深度 5 | 1.01 秒
61... material：Kxg4 | 深度 5 | 1.54 秒
62. v4：Kc5 | 深度 5 | 1.55 秒
62... material：Rb7 | 深度 5 | 1.40 秒
63. v4：Ne8 | 深度 5 | 0.64 秒
63... material：Kxh5 | 深度 5 | 1.73 秒
64. v4：Nf6+ | 深度 5 | 0.96 秒
64... material：Kg5 | 深度 5 | 0.33 秒
65. v4：Ne4+ | 深度 5 | 0.58 秒
65... material：Kh5 | 深度 5 | 0.62 秒
66. v4：Nf6+ | 深度 5 | 1.32 秒
66... material：Kg5 | 深度 5 | 0.40 秒
67. v4：Ne4+ | 深度 5 | 0.64 秒
67... material：Kg4 | 深度 5 | 0.61 秒
68. v4：Nf2+ | 深度 5 | 2.07 秒
68... material：Kf3 | 深度 5 | 0.59 秒
69. v4：Nd3 | 深度 5 | 0.70 秒
69... material：Ke4 | 深度 5 | 1.73 秒
70. v4：Kc6 | 深度 5 | 0.72 秒
70... material：Ra7 | 深度 5 | 0.92 秒
71. v4：Nc5+ | 深度 5 | 1.09 秒
71... material：Kd4 | 深度 5 | 0.60 秒
