本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 27/40 盘：菲利多尔，白方 v4，黑方 material =====
58... material：Kh8 | 深度 5 | 1.12 秒
59. v4：Qh6+ | 深度 5 | 1.90 秒
59... material：Qh7 | 深度 5 | 0.68 秒
60. v4：Qf8+ | 深度 5 | 1.10 秒
60... material：Qg8 | 深度 5 | 0.81 秒
61. v4：Qh6+ | 深度 5 | 1.47 秒
61... material：Qh7 | 深度 5 | 0.17 秒
62. v4：Qf8+ | 深度 5 | 0.97 秒
62... material：Qg8 | 深度 5 | 0.35 秒
63. v4：Qh6+ | 深度 5 | 1.19 秒
material 申请和棋：{'reason': 'threefold_repetition', 'intended_move': 'g8h7'}
本盘结果：1/2-1/2，原因：claimed_threefold_repetition

===== 第 28/40 盘：菲利多尔，白方 material，黑方 v4 =====
4. material：Nc3 | 深度 4 | 5.00 秒
4... v4：exd4 | 深度 4 | 5.00 秒
5. material：Nxd4 | 深度 4 | 5.00 秒
5... v4：Bd7 | 深度 4 | 5.00 秒
6. material：f3 | 深度 3 | 5.00 秒
6... v4：c5 | 深度 4 | 5.00 秒
7. material：Nb3 | 深度 4 | 5.00 秒
7... v4：Nc6 | 深度 3 | 5.00 秒
8. material：Be3 | 深度 3 | 5.00 秒
8... v4：Rc8 | 深度 3 | 5.00 秒
9. material：Qd2 | 深度 3 | 5.00 秒
9... v4：g6 | 深度 3 | 5.00 秒
10. material：O-O-O | 深度 3 | 5.00 秒
10... v4：Qe7 | 深度 3 | 5.00 秒
11. material：Nb5 | 深度 3 | 5.00 秒
11... v4：Qe5 | 深度 4 | 5.00 秒
12. material：Nxd6+ | 深度 3 | 5.00 秒
12... v4：Bxd6 | 深度 5 | 3.99 秒
13. material：Qxd6 | 深度 4 | 5.00 秒
13... v4：b6 | 深度 4 | 5.00 秒
14. material：Bf4 | 深度 4 | 5.00 秒
14... v4：Qe6 | 深度 4 | 5.00 秒
15. material：e5 | 深度 4 | 5.00 秒
15... v4：Nh5 | 深度 5 | 4.48 秒
16. material：Qxe6+ | 深度 4 | 5.00 秒
16... v4：Bxe6 | 深度 5 | 2.09 秒
17. material：g3 | 深度 4 | 5.00 秒
17... v4：Nxf4 | 深度 4 | 5.00 秒
18. material：gxf4 | 深度 4 | 5.00 秒
18... v4：Bxb3 | 深度 4 | 5.00 秒
19. material：axb3 | 深度 4 | 5.00 秒
19... v4：Nd4 | 深度 5 | 3.52 秒
20. material：Ba6 | 深度 4 | 5.00 秒
20... v4：Rc6 | 深度 4 | 5.00 秒
21. material：Bd3 | 深度 4 | 5.00 秒
21... v4：O-O | 深度 4 | 5.00 秒
22. material：Be4 | 深度 4 | 5.00 秒
22... v4：Rc7 | 深度 4 | 5.00 秒
23. material：Kb1 | 深度 4 | 5.00 秒
23... v4：Ne2 | 深度 4 | 5.00 秒
24. material：f5 | 深度 4 | 5.00 秒
24... v4：Re8 | 深度 4 | 5.00 秒
25. material：fxg6 | 深度 4 | 5.00 秒
25... v4：hxg6 | 深度 5 | 2.16 秒
26. material：Rhe1 | 深度 4 | 5.00 秒
26... v4：Nd4 | 深度 4 | 5.00 秒
27. material：f4 | 深度 4 | 5.00 秒
27... v4：Kg7 | 深度 4 | 5.00 秒
28. material：Rf1 | 深度 4 | 5.00 秒
28... v4：Rh8 | 深度 4 | 5.00 秒
29. material：Rf2 | 深度 4 | 5.00 秒
29... v4：Re7 | 深度 3 | 5.00 秒
30. material：Bd5 | 深度 3 | 5.00 秒
30... v4：Rd8 | 深度 3 | 5.00 秒
31. material：Be4 | 深度 4 | 5.00 秒
31... v4：Rc8 | 深度 4 | 5.00 秒
32. material：Bd5 | 深度 3 | 5.00 秒
32... v4：Rd7 | 深度 4 | 5.00 秒
33. material：Be4 | 深度 4 | 5.00 秒
33... v4：Re7 | 深度 4 | 5.00 秒
34. material：Bd3 | 深度 4 | 5.00 秒
34... v4：b5 | 深度 3 | 5.00 秒
35. material：c3 | 深度 4 | 5.00 秒
35... v4：Nxb3 | 深度 4 | 5.00 秒
36. material：Bxb5 | 深度 4 | 5.00 秒
36... v4：c4 | 深度 4 | 5.00 秒
37. material：Ba6 | 深度 4 | 5.00 秒
37... v4：Rc6 | 深度 4 | 5.00 秒
38. material：Bb5 | 深度 4 | 5.00 秒
38... v4：Rc5 | 深度 4 | 5.00 秒
39. material：Ba6 | 深度 4 | 5.00 秒
39... v4：Re6 | 深度 4 | 5.00 秒
40. material：Rd6 | 深度 5 | 4.85 秒
40... v4：Rxd6 | 深度 4 | 5.00 秒
41. material：exd6 | 深度 5 | 1.86 秒
41... v4：Rc6 | 深度 4 | 5.00 秒
42. material：Bxc4 | 深度 5 | 1.74 秒
42... v4：Rxc4 | 深度 4 | 5.00 秒
