本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 21/40 盘：彼得罗夫，白方 v4，黑方 material =====
26... v4：Bd8 | 深度 4 | 5.00 秒
27. material：Be1 | 深度 3 | 5.00 秒
27... v4：Bc7 | 深度 4 | 5.00 秒
28. material：Rf3 | 深度 3 | 5.00 秒
28... v4：Re8 | 深度 4 | 5.00 秒
29. material：Qf2 | 深度 3 | 5.00 秒
29... v4：Qg4 | 深度 3 | 5.00 秒
30. material：Ne3 | 深度 3 | 5.00 秒
30... v4：Qd4 | 深度 4 | 5.00 秒
31. material：Qd2 | 深度 3 | 5.00 秒
31... v4：Ng4 | 深度 4 | 5.00 秒
32. material：Bf2 | 深度 4 | 5.00 秒
32... v4：Nxf2 | 深度 4 | 5.00 秒
33. material：Kxf2 | 深度 4 | 5.00 秒
33... v4：Qf6 | 深度 3 | 5.00 秒
34. material：Rb1 | 深度 4 | 5.00 秒
34... v4：Qe5 | 深度 3 | 5.00 秒
35. material：Qe2 | 深度 3 | 5.00 秒
35... v4：Qf6 | 深度 3 | 5.00 秒
36. material：Kg2 | 深度 3 | 5.00 秒
36... v4：Re5 | 深度 3 | 5.00 秒
37. material：Kf2 | 深度 3 | 5.00 秒
37... v4：Rf8 | 深度 4 | 5.00 秒
38. material：Qd2 | 深度 3 | 5.00 秒
38... v4：g5 | 深度 4 | 5.00 秒
39. material：Rh1 | 深度 3 | 5.00 秒
39... v4：Re7 | 深度 4 | 5.00 秒
40. material：hxg5 | 深度 3 | 5.00 秒
40... v4：Qxg5 | 深度 4 | 5.00 秒
41. material：Re1 | 深度 3 | 5.00 秒
41... v4：h4 | 深度 4 | 5.00 秒
42. material：gxh4 | 深度 3 | 5.00 秒
42... v4：Qxh4+ | 深度 4 | 5.00 秒
43. material：Kg2 | 深度 4 | 5.00 秒
43... v4：Bd8 | 深度 4 | 5.00 秒
44. material：Rh3 | 深度 3 | 5.00 秒
44... v4：Rg8+ | 深度 4 | 5.00 秒
45. material：Rg3 | 深度 5 | 3.60 秒
45... v4：Qxg3+ | 深度 4 | 5.00 秒
46. material：Kf1 | 深度 4 | 5.00 秒
46... v4：Qh3+ | 深度 4 | 5.00 秒
47. material：Ke2 | 深度 4 | 5.00 秒
47... v4：Rg2+ | 深度 4 | 5.00 秒
48. material：Kd1 | 深度 5 | 2.01 秒
48... v4：Rxd2+ | 深度 4 | 5.00 秒
49. material：Kxd2 | 深度 5 | 3.63 秒
49... v4：Rxe3 | 深度 4 | 5.00 秒
50. material：Rxe3 | 深度 5 | 1.96 秒
50... v4：Bg5 | 深度 5 | 2.65 秒
51. material：Ke2 | 深度 5 | 0.85 秒
51... v4：Qg2+ | 深度 5 | 2.44 秒
52. material：Ke1 | 深度 5 | 0.53 秒
52... v4：Bxe3 | 深度 5 | 3.58 秒
53. material：Be2 | 深度 4 | 5.00 秒
53... v4：Qg3+ | 深度 5 | 3.91 秒
54. material：Kd1 | 深度 5 | 1.88 秒
54... v4：Qg1+ | 深度 5 | 4.48 秒
55. material：Bf1 | 深度 5 | 0.58 秒
