本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
59. v4：Rb1 | 深度 5 | 2.73 秒
59... material：h1=Q | 深度 4 | 5.00 秒
60. v4：Rxh1 | 深度 5 | 0.80 秒
60... material：Kxh1 | 深度 5 | 2.33 秒
61. v4：Kc3 | 深度 5 | 0.76 秒
61... material：Rxa3+ | 深度 5 | 2.07 秒
62. v4：Kb4 | 深度 5 | 0.65 秒
62... material：Ra2 | 深度 5 | 1.49 秒
63. v4：Kb3 | 深度 5 | 0.85 秒
63... material：Ra1 | 深度 5 | 1.49 秒
64. v4：Kb2 | 深度 5 | 0.72 秒
64... material：Re1 | 深度 5 | 1.62 秒
65. v4：Kb3 | 深度 5 | 0.71 秒
65... material：Kg2 | 深度 5 | 3.04 秒
66. v4：Kc3 | 深度 5 | 1.55 秒
66... material：Ra1 | 深度 5 | 4.56 秒
67. v4：Kb2 | 深度 5 | 0.69 秒
67... material：Ra7 | 深度 5 | 2.80 秒
68. v4：Kc3 | 深度 5 | 0.83 秒
68... material：Rb7 | 深度 5 | 4.61 秒
69. v4：Kc2 | 深度 5 | 0.95 秒
69... material：Rb8 | 深度 5 | 4.10 秒
70. v4：Kc3 | 深度 5 | 1.01 秒
70... material：Rb7 | 深度 4 | 5.00 秒
71. v4：Kc2 | 深度 5 | 1.08 秒
71... material：Rb8 | 深度 5 | 4.18 秒
72. v4：Kc3 | 深度 5 | 1.35 秒
72... material：Rc8+ | 深度 4 | 5.00 秒
73. v4：Kb3 | 深度 5 | 2.28 秒
73... material：Rc1 | 深度 4 | 5.00 秒
74. v4：Kb2 | 深度 5 | 0.90 秒
74... material：Re1 | 深度 5 | 3.13 秒
75. v4：Kc3 | 深度 5 | 1.49 秒
