本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 33/40 盘：卡罗康推进，白方 v4，黑方 material =====
59. v4：Rb7 | 深度 5 | 4.06 秒
59... material：h4 | 深度 5 | 4.42 秒
60. v4：Rb6+ | 深度 5 | 2.53 秒
60... material：Kd7 | 深度 5 | 1.26 秒
61. v4：Rg6 | 深度 5 | 1.88 秒
61... material：Be3 | 深度 5 | 1.81 秒
62. v4：Kb3 | 深度 5 | 1.59 秒
62... material：Re4 | 深度 5 | 3.16 秒
63. v4：Ka4 | 深度 5 | 2.57 秒
63... material：Rd4 | 深度 5 | 3.00 秒
64. v4：Rg7+ | 深度 5 | 1.91 秒
64... material：Ke6 | 深度 5 | 0.79 秒
65. v4：Kb5 | 深度 5 | 3.00 秒
65... material：Ke5 | 深度 5 | 3.90 秒
66. v4：Re7+ | 深度 5 | 1.66 秒
66... material：Kf4 | 深度 5 | 1.05 秒
67. v4：Rf7+ | 深度 5 | 2.06 秒
67... material：Kg3 | 深度 5 | 1.75 秒
68. v4：Rf8 | 深度 5 | 3.76 秒
68... material：Bf2 | 深度 5 | 4.47 秒
69. v4：Rg8+ | 深度 5 | 1.83 秒
69... material：Kh3 | 深度 5 | 1.61 秒
70. v4：Rc8 | 深度 5 | 3.01 秒
70... material：Bg3 | 深度 5 | 3.57 秒
71. v4：Rc1 | 深度 5 | 2.93 秒
71... material：Kg4 | 深度 5 | 3.83 秒
72. v4：Rb1 | 深度 5 | 4.29 秒
72... material：Bd6 | 深度 5 | 2.96 秒
73. v4：Rb2 | 深度 4 | 5.00 秒
73... material：Re4 | 深度 5 | 4.08 秒
74. v4：Rd2 | 深度 5 | 4.27 秒
74... material：Bc7 | 深度 5 | 3.56 秒
75. v4：Rb2 | 深度 5 | 4.76 秒
75... material：Bd6 | 深度 5 | 3.04 秒
76. v4：Rd2 | 深度 4 | 5.00 秒
76... material：Bg3 | 深度 5 | 3.67 秒
77. v4：Rd7 | 深度 4 | 5.00 秒
77... material：Rf4 | 深度 5 | 4.10 秒
78. v4：Rg7+ | 深度 4 | 5.00 秒
78... material：Kh3 | 深度 5 | 1.68 秒
79. v4：Rd7 | 深度 5 | 4.99 秒
79... material：Rg4 | 深度 5 | 3.17 秒
80. v4：Rd3 | 深度 4 | 5.00 秒
80... material：Rf4 | 深度 5 | 2.24 秒
81. v4：a3 | 深度 5 | 4.73 秒
81... material：bxa3 | 深度 5 | 1.25 秒
82. v4：Rxa3 | 深度 5 | 2.14 秒
82... material：Rf1 | 深度 5 | 1.19 秒
83. v4：Ra7 | 深度 5 | 3.92 秒
83... material：Rh1 | 深度 5 | 3.36 秒
84. v4：Rd7 | 深度 5 | 2.05 秒
84... material：Rh2 | 深度 5 | 2.04 秒
85. v4：Kb4 | 深度 5 | 2.23 秒
85... material：Rh1 | 深度 5 | 1.90 秒
86. v4：Kc3 | 深度 5 | 4.45 秒
86... material：Rh2 | 深度 5 | 3.07 秒
87. v4：Kb3 | 深度 5 | 4.00 秒
87... material：Rg2 | 深度 5 | 1.37 秒
88. v4：Rd3 | 深度 5 | 3.48 秒
88... material：Rh2 | 深度 5 | 0.91 秒
89. v4：Rd5 | 深度 5 | 3.36 秒
89... material：Rh1 | 深度 5 | 1.63 秒
90. v4：Ra5 | 深度 4 | 5.00 秒
90... material：Rh2 | 深度 5 | 2.45 秒
91. v4：Rd5 | 深度 5 | 4.72 秒
91... material：Rh1 | 深度 5 | 1.63 秒
92. v4：Ra5 | 深度 4 | 5.00 秒
92... material：Kg2 | 深度 5 | 2.61 秒
93. v4：Rc5 | 深度 4 | 5.00 秒
93... material：h3 | 深度 5 | 3.77 秒
94. v4：Rd5 | 深度 5 | 3.17 秒
94... material：Bh2 | 深度 4 | 5.00 秒
95. v4：Rd2+ | 深度 5 | 2.75 秒
95... material：Kf3 | 深度 5 | 0.54 秒
96. v4：Rd3+ | 深度 5 | 2.75 秒
96... material：Kg4 | 深度 5 | 1.14 秒
97. v4：Rd4+ | 深度 5 | 2.93 秒
97... material：Kf3 | 深度 5 | 0.83 秒
98. v4：Rd3+ | 深度 5 | 3.87 秒
98... material：Kg4 | 深度 5 | 1.17 秒
99. v4：Rd4+ | 深度 5 | 3.24 秒
99... material：Kg5 | 深度 5 | 1.08 秒
100. v4：Rd5+ | 深度 5 | 2.27 秒
100... material：Kf4 | 深度 5 | 0.85 秒
101. v4：Rd4+ | 深度 5 | 3.19 秒
101... material：Ke5 | 深度 5 | 0.82 秒
102. v4：Rd7 | 深度 5 | 3.65 秒
102... material：Rg1 | 深度 5 | 2.43 秒
103. v4：Rc7 | 深度 4 | 5.00 秒
103... material：Ke6 | 深度 5 | 4.49 秒
104. v4：Rh7 | 深度 5 | 3.95 秒
104... material：Rg3+ | 深度 5 | 3.28 秒
105. v4：Kb4 | 深度 5 | 1.42 秒
105... material：Bg1 | 深度 5 | 3.01 秒
106. v4：Rh6+ | 深度 5 | 3.50 秒
106... material：Kf7 | 深度 5 | 1.81 秒
107. v4：Rc6 | 深度 5 | 2.68 秒
107... material：Bh2 | 深度 5 | 4.09 秒
108. v4：Kb5 | 深度 4 | 5.00 秒
108... material：Rg1 | 深度 5 | 3.37 秒
109. v4：Rh6 | 深度 5 | 3.41 秒
109... material：Rg3 | 深度 5 | 3.25 秒
110. v4：Rb6 | 深度 5 | 4.45 秒
110... material：Rg8 | 深度 5 | 3.98 秒
111. v4：Rb7+ | 深度 5 | 3.40 秒
111... material：Kg6 | 深度 5 | 1.33 秒
112. v4：Kb6 | 深度 4 | 5.00 秒
112... material：Bg1+ | 深度 5 | 3.26 秒
113. v4：Kb5 | 深度 5 | 1.44 秒
113... material：h2 | 深度 5 | 2.09 秒
114. v4：Rc7 | 深度 5 | 3.55 秒
114... material：h1=Q | 深度 4 | 5.00 秒
115. v4：Rc6+ | 深度 5 | 2.42 秒
115... material：Kg5 | 深度 5 | 2.35 秒
116. v4：Ra6 | 深度 4 | 5.00 秒
116... material：Kg4 | 深度 4 | 5.00 秒
117. v4：Ra4+ | 深度 5 | 2.44 秒
117... material：Kg3 | 深度 4 | 5.00 秒
118. v4：Ra3+ | 深度 5 | 1.52 秒
118... material：Kg2 | 深度 5 | 4.04 秒
119. v4：Rd3 | 深度 5 | 4.05 秒
119... material：Kh2 | 深度 4 | 5.00 秒
120. v4：Rd2+ | 深度 5 | 1.70 秒
120... material：Kg3 | 深度 5 | 1.90 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 34/40 盘：卡罗康推进，白方 material，黑方 v4 =====
4. material：Nf3 | 深度 4 | 5.00 秒
4... v4：e6 | 深度 4 | 5.00 秒
5. material：Be2 | 深度 4 | 5.00 秒
5... v4：Qb6 | 深度 3 | 5.00 秒
6. material：O-O | 深度 3 | 5.00 秒
6... v4：Be7 | 深度 3 | 5.00 秒
7. material：Re1 | 深度 4 | 5.00 秒
7... v4：Na6 | 深度 3 | 5.00 秒
8. material：c3 | 深度 3 | 5.00 秒
8... v4：O-O-O | 深度 3 | 5.00 秒
9. material：Na3 | 深度 3 | 5.00 秒
9... v4：Be4 | 深度 3 | 5.00 秒
10. material：Nd2 | 深度 3 | 5.00 秒
10... v4：Bxa3 | 深度 4 | 5.00 秒
11. material：bxa3 | 深度 4 | 5.00 秒
11... v4：Bf5 | 深度 4 | 5.00 秒
12. material：Nf1 | 深度 4 | 5.00 秒
12... v4：Qc7 | 深度 3 | 5.00 秒
13. material：Ng3 | 深度 3 | 5.00 秒
13... v4：Ne7 | 深度 4 | 5.00 秒
14. material：Nxf5 | 深度 3 | 5.00 秒
14... v4：Nxf5 | 深度 4 | 5.00 秒
15. material：Bf3 | 深度 3 | 5.00 秒
15... v4：Rhf8 | 深度 4 | 5.00 秒
16. material：Qd3 | 深度 3 | 5.00 秒
16... v4：c5 | 深度 4 | 5.00 秒
17. material：Bd2 | 深度 3 | 5.00 秒
17... v4：c4 | 深度 3 | 5.00 秒
18. material：Qe2 | 深度 4 | 5.00 秒
18... v4：Qe7 | 深度 4 | 5.00 秒
19. material：a4 | 深度 4 | 5.00 秒
19... v4：Nh4 | 深度 4 | 5.00 秒
20. material：Bg4 | 深度 4 | 5.00 秒
20... v4：g5 | 深度 3 | 5.00 秒
21. material：Rad1 | 深度 3 | 5.00 秒
21... v4：Rg8 | 深度 4 | 5.00 秒
22. material：h3 | 深度 3 | 5.00 秒
22... v4：Rg6 | 深度 4 | 5.00 秒
23. material：Qe3 | 深度 3 | 5.00 秒
23... v4：Qa3 | 深度 4 | 5.00 秒
24. material：Bh5 | 深度 4 | 5.00 秒
24... v4：Rg7 | 深度 4 | 5.00 秒
25. material：Qg3 | 深度 3 | 5.00 秒
25... v4：h6 | 深度 4 | 5.00 秒
26. material：f4 | 深度 3 | 5.00 秒
26... v4：Qxa4 | 深度 4 | 5.00 秒
27. material：fxg5 | 深度 3 | 5.00 秒
27... v4：Nf5 | 深度 4 | 5.00 秒
28. material：Qf2 | 深度 4 | 5.00 秒
28... v4：hxg5 | 深度 4 | 5.00 秒
29. material：Ra1 | 深度 3 | 5.00 秒
29... v4：Qc2 | 深度 3 | 5.00 秒
30. material：Re2 | 深度 3 | 5.00 秒
30... v4：Qb2 | 深度 3 | 5.00 秒
31. material：Rf1 | 深度 4 | 5.00 秒
31... v4：Qa3 | 深度 3 | 5.00 秒
32. material：Kh1 | 深度 3 | 5.00 秒
32... v4：Qe7 | 深度 3 | 5.00 秒
33. material：Rc1 | 深度 3 | 5.00 秒
33... v4：Nc7 | 深度 4 | 5.00 秒
