本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 37/40 盘：后印度，白方 v4，黑方 material =====
59. v4：Kc6 | 深度 5 | 1.08 秒
59... material：Qxb3 | 深度 4 | 5.00 秒
60. v4：Kd6 | 深度 5 | 1.53 秒
60... material：Qd1+ | 深度 4 | 5.00 秒
61. v4：Kc6 | 深度 5 | 1.11 秒
61... material：Qh1+ | 深度 4 | 5.00 秒
62. v4：Kb6 | 深度 5 | 1.21 秒
62... material：Qa1 | 深度 4 | 5.00 秒
63. v4：Kc6 | 深度 5 | 1.01 秒
63... material：Bd4 | 深度 4 | 5.00 秒
64. v4：Kd5 | 深度 5 | 1.30 秒
64... material：Bb5 | 深度 4 | 5.00 秒
65. v4：Ke4 | 深度 5 | 1.20 秒
65... material：Bc6+ | 深度 4 | 5.00 秒
66. v4：Kf4 | 深度 5 | 1.60 秒
66... material：Qh1 | 深度 4 | 5.00 秒
67. v4：Kf5 | 深度 5 | 1.49 秒
67... material：Qg1 | 深度 4 | 5.00 秒
68. v4：Kf4 | 深度 5 | 0.97 秒
68... material：Bf6 | 深度 4 | 5.00 秒
69. v4：Kf5 | 深度 5 | 0.70 秒
69... material：Qg5# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 38/40 盘：后印度，白方 material，黑方 v4 =====
4. material：g3 | 深度 4 | 5.00 秒
4... v4：d5 | 深度 4 | 5.00 秒
5. material：cxd5 | 深度 4 | 5.00 秒
5... v4：Bb4+ | 深度 4 | 5.00 秒
6. material：Bd2 | 深度 5 | 3.41 秒
6... v4：Bxd2+ | 深度 4 | 5.00 秒
7. material：Qxd2 | 深度 5 | 2.68 秒
7... v4：Qxd5 | 深度 4 | 5.00 秒
8. material：Bg2 | 深度 3 | 5.00 秒
8... v4：Ne4 | 深度 3 | 5.00 秒
9. material：Qf4 | 深度 3 | 5.00 秒
9... v4：Bb7 | 深度 3 | 5.00 秒
10. material：Qxc7 | 深度 3 | 5.00 秒
10... v4：Na6 | 深度 3 | 5.00 秒
11. material：Qe5 | 深度 4 | 5.00 秒
11... v4：Qc4 | 深度 4 | 5.00 秒
12. material：Nbd2 | 深度 3 | 5.00 秒
12... v4：Qb4 | 深度 4 | 5.00 秒
13. material：Qxg7 | 深度 4 | 5.00 秒
13... v4：Ke7 | 深度 4 | 5.00 秒
14. material：b3 | 深度 3 | 5.00 秒
14... v4：Rag8 | 深度 3 | 5.00 秒
15. material：Qh6 | 深度 4 | 5.00 秒
15... v4：Nxd2 | 深度 3 | 5.00 秒
16. material：Qxd2 | 深度 4 | 5.00 秒
16... v4：Rd8 | 深度 4 | 5.00 秒
17. material：O-O-O | 深度 4 | 5.00 秒
17... v4：Be4 | 深度 4 | 5.00 秒
18. material：Kb2 | 深度 4 | 5.00 秒
18... v4：Qxd2+ | 深度 4 | 5.00 秒
19. material：Rxd2 | 深度 4 | 5.00 秒
19... v4：e5 | 深度 4 | 5.00 秒
20. material：e3 | 深度 4 | 5.00 秒
20... v4：Rd7 | 深度 4 | 5.00 秒
21. material：Rg1 | 深度 4 | 5.00 秒
21... v4：Bxf3 | 深度 4 | 5.00 秒
22. material：Bxf3 | 深度 4 | 5.00 秒
22... v4：Nc5 | 深度 4 | 5.00 秒
23. material：d5 | 深度 4 | 5.00 秒
23... v4：Rd6 | 深度 4 | 5.00 秒
24. material：Rg2 | 深度 3 | 5.00 秒
24... v4：h5 | 深度 4 | 5.00 秒
25. material：b4 | 深度 4 | 5.00 秒
25... v4：Na4+ | 深度 4 | 5.00 秒
26. material：Kb3 | 深度 4 | 5.00 秒
26... v4：b5 | 深度 4 | 5.00 秒
27. material：Rc2 | 深度 4 | 5.00 秒
27... v4：Kd7 | 深度 4 | 5.00 秒
28. material：a3 | 深度 4 | 5.00 秒
28... v4：f5 | 深度 4 | 5.00 秒
29. material：Rd2 | 深度 4 | 5.00 秒
29... v4：a6 | 深度 4 | 5.00 秒
30. material：Rd1 | 深度 4 | 5.00 秒
30... v4：e4 | 深度 5 | 4.60 秒
31. material：Be2 | 深度 4 | 5.00 秒
31... v4：Nb6 | 深度 4 | 5.00 秒
32. material：f3 | 深度 3 | 5.00 秒
32... v4：Nxd5 | 深度 5 | 4.13 秒
33. material：fxe4 | 深度 4 | 5.00 秒
33... v4：Nxe3 | 深度 5 | 3.24 秒
34. material：Rxd6+ | 深度 5 | 4.24 秒
34... v4：Kxd6 | 深度 5 | 0.82 秒
35. material：Rf2 | 深度 5 | 1.77 秒
35... v4：fxe4 | 深度 5 | 2.81 秒
36. material：Rf6+ | 深度 5 | 2.41 秒
36... v4：Kd5 | 深度 5 | 3.23 秒
37. material：Rxa6 | 深度 5 | 4.32 秒
37... v4：Nc4 | 深度 5 | 2.01 秒
38. material：Ra7 | 深度 4 | 5.00 秒
38... v4：h4 | 深度 5 | 3.87 秒
39. material：g4 | 深度 4 | 5.00 秒
39... v4：Rf8 | 深度 5 | 4.30 秒
40. material：Bd1 | 深度 4 | 5.00 秒
40... v4：Rf2 | 深度 5 | 3.27 秒
41. material：h3 | 深度 5 | 3.47 秒
41... v4：Ne3 | 深度 5 | 3.60 秒
42. material：Rd7+ | 深度 5 | 0.63 秒
42... v4：Kc6 | 深度 5 | 0.75 秒
43. material：Rd8 | 深度 5 | 1.01 秒
43... v4：Rh2 | 深度 5 | 2.04 秒
44. material：Rc8+ | 深度 5 | 0.89 秒
44... v4：Kd7 | 深度 5 | 0.72 秒
45. material：Rc5 | 深度 5 | 1.35 秒
45... v4：Nxd1 | 深度 5 | 1.76 秒
46. material：Rd5+ | 深度 5 | 0.19 秒
