本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 25/40 盘：四马，白方 v4，黑方 material =====
15... v4：Qg3 | 深度 3 | 5.00 秒
16. material：Kg1 | 深度 3 | 5.00 秒
16... v4：O-O | 深度 4 | 5.00 秒
17. material：Rf1 | 深度 3 | 5.00 秒
17... v4：Qh2+ | 深度 4 | 5.00 秒
18. material：Kf2 | 深度 4 | 5.00 秒
18... v4：Qg3+ | 深度 4 | 5.00 秒
19. material：Kg1 | 深度 4 | 5.00 秒
19... v4：Qh2+ | 深度 4 | 5.00 秒
20. material：Kf2 | 深度 4 | 5.00 秒
20... v4：Bf4 | 深度 3 | 5.00 秒
21. material：Bxf4 | 深度 4 | 5.00 秒
21... v4：Qxf4+ | 深度 5 | 4.71 秒
22. material：Ke1 | 深度 5 | 3.43 秒
22... v4：Qc1+ | 深度 4 | 5.00 秒
23. material：Nd1 | 深度 5 | 4.98 秒
23... v4：Qa1 | 深度 4 | 5.00 秒
24. material：Bc4 | 深度 4 | 5.00 秒
24... v4：b5 | 深度 4 | 5.00 秒
25. material：Bb3 | 深度 4 | 5.00 秒
25... v4：Bb7 | 深度 3 | 5.00 秒
26. material：c3 | 深度 4 | 5.00 秒
26... v4：Rad8 | 深度 4 | 5.00 秒
27. material：Rf3 | 深度 3 | 5.00 秒
27... v4：Qb1 | 深度 3 | 5.00 秒
28. material：Rg3 | 深度 4 | 5.00 秒
28... v4：b4 | 深度 3 | 5.00 秒
29. material：cxb4 | 深度 4 | 5.00 秒
29... v4：Rd4 | 深度 3 | 5.00 秒
30. material：f6 | 深度 4 | 5.00 秒
30... v4：Rxe4 | 深度 4 | 5.00 秒
31. material：Re3 | 深度 5 | 3.03 秒
31... v4：Rxe3 | 深度 4 | 5.00 秒
32. material：Qxe3 | 深度 5 | 1.80 秒
32... v4：gxf6 | 深度 4 | 5.00 秒
33. material：Qg3+ | 深度 3 | 5.00 秒
33... v4：Qg6 | 深度 5 | 3.66 秒
34. material：Qxc7 | 深度 4 | 5.00 秒
34... v4：Qxg2 | 深度 4 | 5.00 秒
35. material：Qxb7 | 深度 4 | 5.00 秒
35... v4：Re8+ | 深度 5 | 3.64 秒
36. material：Ne3 | 深度 5 | 0.99 秒
36... v4：Rxe3+ | 深度 5 | 3.98 秒
37. material：Kd1 | 深度 5 | 1.32 秒
37... v4：Qf1+ | 深度 4 | 5.00 秒
38. material：Kc2 | 深度 5 | 1.87 秒
38... v4：Qd3+ | 深度 4 | 5.00 秒
39. material：Kc1 | 深度 5 | 1.00 秒
39... v4：Re1+ | 深度 5 | 4.50 秒
40. material：Bd1 | 深度 5 | 0.40 秒
40... v4：Qxd1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_13.zip

===== 比赛结束 =====
v4获胜： 2
material获胜： 0
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_13
