本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 5/40 盘：对称英国式，白方 v4，黑方 material =====
59... material：Rxa4 | 深度 4 | 5.00 秒
60. v4：c7 | 深度 5 | 2.49 秒
60... material：Rxh4 | 深度 5 | 3.82 秒
61. v4：Ra8 | 深度 5 | 2.34 秒
61... material：Rh3+ | 深度 5 | 1.36 秒
62. v4：Ke2 | 深度 5 | 0.94 秒
62... material：Rh2+ | 深度 5 | 1.04 秒
63. v4：Kd3 | 深度 5 | 2.31 秒
63... material：Rb2 | 深度 5 | 2.41 秒
64. v4：c8=Q | 深度 4 | 5.00 秒
64... material：Rb3+ | 深度 5 | 4.33 秒
65. v4：Kc4 | 深度 5 | 1.16 秒
65... material：Rc3+ | 深度 5 | 1.86 秒
66. v4：Kxc3 | 深度 5 | 0.98 秒
66... material：Kf6 | 深度 5 | 4.23 秒
67. v4：Rxa6+ | 深度 4 | 5.00 秒
67... material：Kg7 | 深度 5 | 3.07 秒
68. v4：Nd5 | 深度 4 | 5.00 秒
68... material：h4 | 深度 5 | 2.41 秒
69. v4：Nf6 | 深度 4 | 5.00 秒
69... material：h3 | 深度 5 | 1.66 秒
70. v4：Qxh3 | 深度 4 | 5.00 秒
70... material：g5 | 深度 5 | 2.08 秒
71. v4：Qh7+ | 深度 4 | 5.00 秒
71... material：Kf8 | 深度 5 | 1.18 秒
72. v4：Ra7 | 深度 4 | 5.00 秒
72... material：g4 | 深度 5 | 1.12 秒
73. v4：Qh8# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 6/40 盘：对称英国式，白方 material，黑方 v4 =====
4. material：g3 | 深度 4 | 5.00 秒
4... v4：h5 | 深度 4 | 5.00 秒
5. material：Bg2 | 深度 4 | 5.00 秒
5... v4：e5 | 深度 4 | 5.00 秒
6. material：d3 | 深度 4 | 5.00 秒
6... v4：Be7 | 深度 4 | 5.00 秒
7. material：O-O | 深度 4 | 5.00 秒
7... v4：Qb6 | 深度 4 | 5.00 秒
8. material：a3 | 深度 3 | 5.00 秒
8... v4：O-O | 深度 3 | 5.00 秒
9. material：Rb1 | 深度 3 | 5.00 秒
9... v4：Qd8 | 深度 4 | 5.00 秒
10. material：b3 | 深度 4 | 5.00 秒
10... v4：Re8 | 深度 4 | 5.00 秒
11. material：h3 | 深度 4 | 5.00 秒
11... v4：Bf8 | 深度 4 | 5.00 秒
12. material：e4 | 深度 4 | 5.00 秒
12... v4：Nd4 | 深度 4 | 5.00 秒
13. material：Nxd4 | 深度 4 | 5.00 秒
13... v4：exd4 | 深度 4 | 5.00 秒
14. material：Ne2 | 深度 4 | 5.00 秒
14... v4：d6 | 深度 4 | 5.00 秒
15. material：f4 | 深度 4 | 5.00 秒
15... v4：g6 | 深度 4 | 5.00 秒
16. material：Bb2 | 深度 4 | 5.00 秒
16... v4：Qd7 | 深度 4 | 5.00 秒
17. material：b4 | 深度 4 | 5.00 秒
17... v4：Bh6 | 深度 4 | 5.00 秒
18. material：Qd2 | 深度 3 | 5.00 秒
18... v4：Bg7 | 深度 3 | 5.00 秒
19. material：f5 | 深度 3 | 5.00 秒
19... v4：gxf5 | 深度 4 | 5.00 秒
