本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 1/40 盘：意大利式，白方 v4，黑方 material =====
49... v4：Rxd2 | 深度 5 | 1.48 秒
50. material：Nf6+ | 深度 5 | 0.58 秒
50... v4：Ke6 | 深度 5 | 0.48 秒
51. material：Rxd2 | 深度 5 | 0.84 秒
51... v4：Na5 | 深度 5 | 1.31 秒
52. material：Ne8 | 深度 5 | 1.81 秒
52... v4：fxe4 | 深度 5 | 0.85 秒
53. material：Nxd6 | 深度 5 | 2.19 秒
53... v4：Nxb3 | 深度 5 | 0.92 秒
54. material：Rd1 | 深度 5 | 0.81 秒
54... v4：e3 | 深度 5 | 0.64 秒
55. material：Nxb5 | 深度 5 | 1.54 秒
55... v4：Kf5 | 深度 5 | 0.97 秒
56. material：Rd5 | 深度 5 | 3.91 秒
56... v4：c4 | 深度 5 | 1.67 秒
57. material：Ke2 | 深度 5 | 2.64 秒
57... v4：Ke4 | 深度 5 | 0.60 秒
58. material：Rd6 | 深度 5 | 1.21 秒
58... v4：Nc1+ | 深度 5 | 0.39 秒
59. material：Kd1 | 深度 5 | 0.49 秒
59... v4：e2+ | 深度 5 | 0.38 秒
60. material：Kd2 | 深度 5 | 0.71 秒
60... v4：Kf3 | 深度 5 | 0.97 秒
61. material：Rd7 | 深度 4 | 5.00 秒
61... v4：Nb3+ | 深度 5 | 0.38 秒
62. material：Ke1 | 深度 5 | 0.35 秒
62... v4：Nc5 | 深度 5 | 0.67 秒
63. material：Rd8 | 深度 5 | 2.54 秒
63... v4：Nd3+ | 深度 5 | 0.51 秒
64. material：Rxd3+ | 深度 5 | 0.04 秒
64... v4：cxd3 | 深度 5 | 0.27 秒
65. material：Nd6 | 深度 5 | 0.19 秒
65... v4：e4 | 深度 5 | 0.35 秒
66. material：Nc4 | 深度 5 | 0.35 秒
66... v4：Kg2 | 深度 5 | 0.45 秒
67. material：Nd2 | 深度 5 | 0.24 秒
67... v4：e3 | 深度 5 | 0.11 秒
68. material：Nc4 | 深度 5 | 0.12 秒
68... v4：Kf3 | 深度 5 | 0.11 秒
69. material：Ne5+ | 深度 5 | 0.13 秒
69... v4：Ke4 | 深度 5 | 0.14 秒
70. material：Nc4 | 深度 5 | 0.17 秒
70... v4：Kf4 | 深度 5 | 0.14 秒
71. material：Nb2 | 深度 5 | 0.22 秒
71... v4：Ke4 | 深度 5 | 0.12 秒
72. material：Nc4 | 深度 5 | 0.13 秒
72... v4：Kf4 | 深度 5 | 0.21 秒
73. material：Nb2 | 深度 5 | 0.19 秒
73... v4：Ke4 | 深度 5 | 0.16 秒
74. material：c4 | 深度 5 | 0.09 秒
74... v4：Kd4 | 深度 5 | 0.11 秒
75. material：c5 | 深度 5 | 0.06 秒
75... v4：Kc3 | 深度 5 | 0.17 秒
76. material：Nxd3 | 深度 5 | 0.07 秒
76... v4：Kxd3 | 深度 5 | 0.20 秒
77. material：c6 | 深度 5 | 0.05 秒
77... v4：Kc3 | 深度 5 | 0.15 秒
78. material：c7 | 深度 5 | 0.07 秒
78... v4：Kd3 | 深度 5 | 0.29 秒
79. material：c8=Q | 深度 5 | 0.20 秒
79... v4：Kd4 | 深度 5 | 0.63 秒
80. material：Kxe2 | 深度 5 | 1.79 秒
80... v4：Ke4 | 深度 5 | 0.70 秒
81. material：Qe6+ | 深度 5 | 2.96 秒
81... v4：Kd4 | 深度 5 | 0.98 秒
82. material：Qxe3+ | 深度 5 | 3.26 秒
82... v4：Kd5 | 深度 5 | 1.24 秒
83. material：Kd3 | 深度 5 | 3.09 秒
83... v4：Kd6 | 深度 5 | 0.68 秒
84. material：Qe2 | 深度 5 | 3.14 秒
84... v4：Kd5 | 深度 5 | 1.15 秒
85. material：Qd2 | 深度 5 | 2.90 秒
85... v4：Ke6 | 深度 5 | 1.44 秒
86. material：Qe2+ | 深度 5 | 3.44 秒
86... v4：Kf5 | 深度 5 | 1.10 秒
87. material：Qd2 | 深度 5 | 3.15 秒
87... v4：Kg6 | 深度 5 | 1.62 秒
88. material：Qe2 | 深度 5 | 3.43 秒
88... v4：Kf5 | 深度 5 | 1.17 秒
89. material：Qd2 | 深度 5 | 3.38 秒
89... v4：Kg6 | 深度 5 | 1.46 秒
90. material：Qe3 | 深度 5 | 3.38 秒
90... v4：Kf5 | 深度 5 | 1.34 秒
91. material：Qe2 | 深度 5 | 4.02 秒
91... v4：Kf6 | 深度 5 | 1.30 秒
92. material：Qc2 | 深度 5 | 4.06 秒
92... v4：Kf5 | 深度 5 | 1.09 秒
93. material：Qe2 | 深度 5 | 4.52 秒
93... v4：Kf6 | 深度 5 | 1.33 秒
94. material：Qc2 | 深度 5 | 4.18 秒
94... v4：Ke5 | 深度 5 | 1.15 秒
95. material：Qc1 | 深度 5 | 4.48 秒
95... v4：Kf6 | 深度 5 | 1.29 秒
96. material：Kd2 | 深度 4 | 5.00 秒
96... v4：Ke6 | 深度 5 | 1.10 秒
97. material：Qb2 | 深度 5 | 4.92 秒
97... v4：Kf5 | 深度 5 | 1.06 秒
98. material：Qa2 | 深度 4 | 5.00 秒
98... v4：Kf6 | 深度 5 | 1.55 秒
99. material：Qb2+ | 深度 5 | 4.94 秒
99... v4：Kg6 | 深度 5 | 1.58 秒
100. material：Qa2 | 深度 4 | 5.00 秒
100... v4：Kf6 | 深度 5 | 1.59 秒
101. material：Qb2+ | 深度 4 | 5.00 秒
101... v4：Kg6 | 深度 5 | 1.69 秒
102. material：Qb1+ | 深度 4 | 5.00 秒
102... v4：Kg5 | 深度 5 | 1.59 秒
103. material：Qa1 | 深度 4 | 5.00 秒
103... v4：Kg6 | 深度 5 | 1.91 秒
104. material：Qc3 | 深度 4 | 5.00 秒
104... v4：Kf5 | 深度 5 | 1.85 秒
105. material：Qh8 | 深度 4 | 5.00 秒
105... v4：Kg6 | 深度 5 | 2.36 秒
106. material：Qe8+ | 深度 4 | 5.00 秒
106... v4：Kf5 | 深度 5 | 1.57 秒
107. material：Kd3 | 深度 4 | 5.00 秒
107... v4：Kg4 | 深度 5 | 1.31 秒
108. material：Qe4+ | 深度 4 | 5.00 秒
108... v4：Kh5 | 深度 5 | 1.61 秒
109. material：Qd4 | 深度 4 | 5.00 秒
109... v4：Kg6 | 深度 5 | 1.43 秒
110. material：Qe4+ | 深度 4 | 5.00 秒
110... v4：Kf6 | 深度 5 | 1.42 秒
111. material：Qd4+ | 深度 4 | 5.00 秒
111... v4：Ke6 | 深度 5 | 1.25 秒
112. material：Qe4+ | 深度 4 | 5.00 秒
112... v4：Kf6 | 深度 5 | 1.27 秒
113. material：Qd4+ | 深度 4 | 5.00 秒
113... v4：Ke6 | 深度 5 | 1.35 秒
114. material：Qg7 | 深度 4 | 5.00 秒
114... v4：Kd5 | 深度 5 | 1.03 秒
115. material：Qg8+ | 深度 4 | 5.00 秒
115... v4：Kd6 | 深度 5 | 1.56 秒
116. material：Qe8 | 深度 4 | 5.00 秒
116... v4：Kd5 | 深度 5 | 1.25 秒
117. material：Qe7 | 深度 4 | 5.00 秒
117... v4：Kc6 | 深度 5 | 0.67 秒
118. material：Qf8 | 深度 4 | 5.00 秒
118... v4：Kb5 | 深度 5 | 1.47 秒
119. material：Qg8 | 深度 4 | 5.00 秒
119... v4：Kc6 | 深度 5 | 1.83 秒
120. material：Qe8+ | 深度 4 | 5.00 秒
120... v4：Kd5 | 深度 5 | 1.41 秒
本盘结果：*，原因：move_limit_unfinished
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_01.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 0
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_01
