本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 39/40 盘：荷兰，白方 v4，黑方 material =====
59. v4：Nd7 | 深度 5 | 4.42 秒
59... material：Rc7 | 深度 4 | 5.00 秒
60. v4：Nb8+ | 深度 5 | 1.50 秒
60... material：Kb7 | 深度 5 | 0.31 秒
61. v4：Nd7 | 深度 5 | 1.66 秒
61... material：Qe4 | 深度 4 | 5.00 秒
62. v4：Kg7 | 深度 5 | 3.63 秒
62... material：Qe6 | 深度 5 | 3.63 秒
63. v4：Nxc5+ | 深度 5 | 0.17 秒
63... material：bxc5 | 深度 5 | 0.18 秒
64. v4：Rxc7+ | 深度 5 | 0.12 秒
64... material：Kxc7 | 深度 5 | 0.46 秒
65. v4：Kh8 | 深度 5 | 0.59 秒
65... material：b3 | 深度 5 | 3.47 秒
66. v4：Kg7 | 深度 5 | 0.57 秒
66... material：b2 | 深度 5 | 3.13 秒
67. v4：Kh8 | 深度 5 | 1.73 秒
67... material：Qh6+ | 深度 4 | 5.00 秒
68. v4：Kg8 | 深度 5 | 1.03 秒
68... material：b1=Q | 深度 4 | 5.00 秒
69. v4：Kf7 | 深度 5 | 1.14 秒
69... material：Qe1 | 深度 4 | 5.00 秒
70. v4：Kg8 | 深度 5 | 1.07 秒
70... material：Qee6# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 40/40 盘：荷兰，白方 material，黑方 v4 =====
4. material：Nf3 | 深度 4 | 5.00 秒
4... v4：Bg7 | 深度 4 | 5.00 秒
5. material：O-O | 深度 4 | 5.00 秒
5... v4：a5 | 深度 4 | 5.00 秒
6. material：c4 | 深度 4 | 5.00 秒
6... v4：O-O | 深度 4 | 5.00 秒
7. material：Nc3 | 深度 4 | 5.00 秒
7... v4：d6 | 深度 4 | 5.00 秒
8. material：b3 | 深度 4 | 5.00 秒
8... v4：c6 | 深度 4 | 5.00 秒
9. material：Bb2 | 深度 4 | 5.00 秒
9... v4：h6 | 深度 4 | 5.00 秒
10. material：Qd2 | 深度 4 | 5.00 秒
10... v4：Bd7 | 深度 4 | 5.00 秒
11. material：Rfd1 | 深度 4 | 5.00 秒
11... v4：Ne4 | 深度 3 | 5.00 秒
12. material：Nxe4 | 深度 4 | 5.00 秒
12... v4：fxe4 | 深度 4 | 5.00 秒
13. material：Nh4 | 深度 4 | 5.00 秒
13... v4：g5 | 深度 4 | 5.00 秒
14. material：Ng6 | 深度 4 | 5.00 秒
14... v4：Rf6 | 深度 4 | 5.00 秒
15. material：Bxe4 | 深度 4 | 5.00 秒
15... v4：Be8 | 深度 4 | 5.00 秒
16. material：Qc2 | 深度 4 | 5.00 秒
16... v4：e6 | 深度 4 | 5.00 秒
17. material：Rac1 | 深度 3 | 5.00 秒
17... v4：Bf7 | 深度 4 | 5.00 秒
18. material：d5 | 深度 4 | 5.00 秒
18... v4：e5 | 深度 4 | 5.00 秒
19. material：dxc6 | 深度 4 | 5.00 秒
19... v4：Nxc6 | 深度 4 | 5.00 秒
20. material：Nxe5 | 深度 4 | 5.00 秒
20... v4：Nxe5 | 深度 4 | 5.00 秒
