本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/40 盘：斯拉夫式，白方 v4，黑方 material =====
59. v4：Nd6 | 深度 5 | 2.78 秒
59... material：Ra8 | 深度 5 | 2.10 秒
60. v4：Bd2 | 深度 5 | 2.96 秒
60... material：Ra7 | 深度 5 | 2.70 秒
61. v4：Ka2 | 深度 4 | 5.00 秒
61... material：Kg7 | 深度 5 | 1.61 秒
62. v4：b3 | 深度 5 | 4.79 秒
62... material：cxb3+ | 深度 5 | 0.83 秒
63. v4：Kxb3 | 深度 5 | 1.98 秒
63... material：Ra8 | 深度 5 | 1.26 秒
64. v4：Ka2 | 深度 4 | 5.00 秒
64... material：Rh8 | 深度 5 | 1.73 秒
65. v4：Bg5 | 深度 4 | 5.00 秒
65... material：Kg6 | 深度 5 | 2.06 秒
66. v4：Bc1 | 深度 5 | 4.52 秒
66... material：Rh7 | 深度 5 | 2.98 秒
67. v4：f4 | 深度 5 | 3.44 秒
67... material：Rh5 | 深度 5 | 2.02 秒
68. v4：a6 | 深度 5 | 3.22 秒
68... material：Rh4 | 深度 5 | 1.90 秒
69. v4：Be3 | 深度 5 | 2.96 秒
69... material：Rh3 | 深度 5 | 1.85 秒
70. v4：a7 | 深度 5 | 2.18 秒
70... material：Rh8 | 深度 5 | 2.36 秒
71. v4：Kb2 | 深度 5 | 2.64 秒
71... material：Ra8 | 深度 5 | 1.88 秒
72. v4：Nb7 | 深度 5 | 2.54 秒
72... material：Rxa7 | 深度 5 | 2.70 秒
73. v4：Nd8 | 深度 5 | 1.31 秒
73... material：Kf5 | 深度 5 | 0.93 秒
74. v4：Nxc6 | 深度 5 | 1.70 秒
74... material：Ra8 | 深度 5 | 1.12 秒
75. v4：Bd2 | 深度 5 | 2.22 秒
75... material：Ke4 | 深度 5 | 1.30 秒
76. v4：Kb3 | 深度 5 | 2.75 秒
76... material：Kd3 | 深度 5 | 1.92 秒
77. v4：Bb4 | 深度 5 | 2.17 秒
77... material：Ke3 | 深度 5 | 1.50 秒
78. v4：Be7 | 深度 5 | 3.48 秒
78... material：Kxf4 | 深度 5 | 2.72 秒
79. v4：Nd8 | 深度 5 | 3.89 秒
79... material：Rb8+ | 深度 5 | 1.30 秒
80. v4：Ka4 | 深度 5 | 1.93 秒
80... material：Kf5 | 深度 5 | 1.14 秒
