本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 7/40 盘：西班牙式，白方 v4，黑方 material =====
22... v4：Bd4 | 深度 4 | 5.00 秒
23. material：Bd2 | 深度 4 | 5.00 秒
23... v4：a5 | 深度 4 | 5.00 秒
24. material：b3 | 深度 4 | 5.00 秒
24... v4：O-O-O | 深度 4 | 5.00 秒
25. material：Rb1 | 深度 4 | 5.00 秒
25... v4：Bg2 | 深度 4 | 5.00 秒
26. material：Rf5 | 深度 4 | 5.00 秒
26... v4：b5 | 深度 4 | 5.00 秒
27. material：Ke2 | 深度 4 | 5.00 秒
27... v4：Rde8 | 深度 4 | 5.00 秒
28. material：Rxf8 | 深度 4 | 5.00 秒
28... v4：Rxf8 | 深度 5 | 1.83 秒
29. material：Nd1 | 深度 4 | 5.00 秒
29... v4：b4 | 深度 4 | 5.00 秒
30. material：Ne3 | 深度 4 | 5.00 秒
30... v4：Bf3+ | 深度 4 | 5.00 秒
31. material：Ke1 | 深度 5 | 2.85 秒
31... v4：Be5 | 深度 4 | 5.00 秒
32. material：Nf1 | 深度 4 | 5.00 秒
32... v4：Bd4 | 深度 4 | 5.00 秒
33. material：Ne3 | 深度 5 | 4.77 秒
33... v4：Be5 | 深度 4 | 5.00 秒
34. material：Nf1 | 深度 4 | 5.00 秒
34... v4：c5 | 深度 4 | 5.00 秒
35. material：Be3 | 深度 4 | 5.00 秒
35... v4：Bc3+ | 深度 4 | 5.00 秒
36. material：Nd2 | 深度 5 | 2.68 秒
36... v4：Bg4 | 深度 4 | 5.00 秒
37. material：Bxc5 | 深度 5 | 1.99 秒
37... v4：Rf4 | 深度 4 | 5.00 秒
38. material：a4 | 深度 5 | 4.52 秒
38... v4：bxa3 | 深度 4 | 5.00 秒
39. material：Bxa3 | 深度 5 | 3.64 秒
39... v4：Rf3 | 深度 4 | 5.00 秒
40. material：Bc5 | 深度 5 | 4.91 秒
40... v4：Rh3 | 深度 4 | 5.00 秒
41. material：Bg1 | 深度 4 | 5.00 秒
41... v4：Bf3 | 深度 4 | 5.00 秒
42. material：Rc1 | 深度 4 | 5.00 秒
42... v4：g4 | 深度 4 | 5.00 秒
43. material：Rb1 | 深度 4 | 5.00 秒
43... v4：h5 | 深度 4 | 5.00 秒
44. material：Rc1 | 深度 4 | 5.00 秒
44... v4：g3 | 深度 4 | 5.00 秒
45. material：hxg3 | 深度 5 | 2.83 秒
45... v4：Kb7 | 深度 4 | 5.00 秒
46. material：Rb1 | 深度 5 | 4.31 秒
46... v4：Bg4 | 深度 4 | 5.00 秒
47. material：b4 | 深度 4 | 5.00 秒
47... v4：axb4 | 深度 4 | 5.00 秒
48. material：Bc5 | 深度 4 | 5.00 秒
48... v4：Rh1+ | 深度 4 | 5.00 秒
49. material：Kf2 | 深度 5 | 0.90 秒
49... v4：Rh2+ | 深度 4 | 5.00 秒
50. material：Kg1 | 深度 5 | 1.04 秒
50... v4：Rxd2 | 深度 4 | 5.00 秒
51. material：Bxb4 | 深度 5 | 3.19 秒
51... v4：Bd4+ | 深度 5 | 2.30 秒
52. material：Kf1 | 深度 5 | 0.98 秒
52... v4：Rf2+ | 深度 5 | 4.20 秒
53. material：Ke1 | 深度 5 | 1.45 秒
53... v4：Re2+ | 深度 4 | 5.00 秒
54. material：Kf1 | 深度 5 | 1.42 秒
54... v4：Rxc2 | 深度 4 | 5.00 秒
55. material：Bc5+ | 深度 5 | 1.61 秒
55... v4：Rb2 | 深度 5 | 3.06 秒
56. material：Rxb2+ | 深度 5 | 0.23 秒
56... v4：Bxb2 | 深度 5 | 1.13 秒
57. material：Kf2 | 深度 5 | 0.99 秒
57... v4：Bd7 | 深度 4 | 5.00 秒
58. material：Kf3 | 深度 5 | 1.72 秒
58... v4：Bb5 | 深度 4 | 5.00 秒
59. material：Ke2 | 深度 5 | 1.61 秒
59... v4：Be5 | 深度 4 | 5.00 秒
60. material：Bf2 | 深度 5 | 2.21 秒
60... v4：Kc6 | 深度 4 | 5.00 秒
61. material：Ke3 | 深度 5 | 1.27 秒
61... v4：Bc3 | 深度 5 | 2.54 秒
62. material：d4 | 深度 5 | 0.55 秒
62... v4：Kd6 | 深度 5 | 3.53 秒
63. material：Kf4 | 深度 5 | 0.70 秒
63... v4：Bd2+ | 深度 5 | 3.92 秒
64. material：Be3 | 深度 5 | 0.25 秒
64... v4：Bxe3+ | 深度 5 | 1.90 秒
65. material：Kxe3 | 深度 5 | 0.13 秒
65... v4：c5 | 深度 5 | 1.00 秒
66. material：dxc5+ | 深度 5 | 0.14 秒
66... v4：Kxc5 | 深度 5 | 0.62 秒
67. material：e5 | 深度 5 | 0.16 秒
67... v4：Kd5 | 深度 5 | 0.84 秒
68. material：Kf4 | 深度 5 | 0.16 秒
68... v4：Ke6 | 深度 5 | 1.04 秒
69. material：Ke4 | 深度 5 | 0.13 秒
69... v4：Bc6+ | 深度 5 | 0.55 秒
70. material：Kf4 | 深度 5 | 0.17 秒
70... v4：Bb5 | 深度 5 | 0.80 秒
71. material：Ke4 | 深度 5 | 0.15 秒
71... v4：Bc6+ | 深度 5 | 0.69 秒
72. material：Kf4 | 深度 5 | 0.17 秒
72... v4：Ba4 | 深度 5 | 0.90 秒
73. material：Ke4 | 深度 5 | 0.14 秒
73... v4：Bc2+ | 深度 5 | 0.54 秒
74. material：Kf4 | 深度 5 | 0.17 秒
74... v4：Bd3 | 深度 5 | 0.69 秒
75. material：Ke3 | 深度 5 | 0.16 秒
75... v4：Bc2 | 深度 5 | 0.58 秒
76. material：Kf4 | 深度 5 | 0.22 秒
76... v4：Bd1 | 深度 5 | 0.72 秒
77. material：Ke4 | 深度 5 | 0.10 秒
77... v4：Bg4 | 深度 5 | 0.43 秒
78. material：Kf4 | 深度 5 | 0.15 秒
78... v4：Kd5 | 深度 5 | 0.48 秒
79. material：Ke3 | 深度 5 | 0.12 秒
79... v4：Kxe5 | 深度 5 | 0.61 秒
