本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 23/40 盘：维也纳，白方 v4，黑方 material =====
59. v4：g4 | 深度 5 | 1.62 秒
59... material：Rf2 | 深度 5 | 0.60 秒
60. v4：Rg7+ | 深度 5 | 2.56 秒
60... material：Kf8 | 深度 5 | 0.39 秒
61. v4：Rf7+ | 深度 5 | 3.22 秒
61... material：Kg8 | 深度 5 | 0.31 秒
62. v4：Kh3 | 深度 5 | 2.60 秒
62... material：Rf1 | 深度 5 | 0.54 秒
63. v4：Rg7+ | 深度 5 | 2.94 秒
63... material：Kf8 | 深度 5 | 0.34 秒
64. v4：Rf7+ | 深度 5 | 2.23 秒
64... material：Kg8 | 深度 5 | 0.32 秒
65. v4：Kg3 | 深度 5 | 2.37 秒
65... material：Ra1 | 深度 5 | 1.60 秒
66. v4：Re7 | 深度 5 | 2.69 秒
66... material：Ra3+ | 深度 5 | 0.27 秒
67. v4：Kh2 | 深度 5 | 1.30 秒
67... material：Ra8 | 深度 5 | 0.73 秒
68. v4：Re8+ | 深度 4 | 5.00 秒
68... material：Rxe8 | 深度 5 | 0.13 秒
69. v4：f7+ | 深度 5 | 1.14 秒
69... material：Kf8 | 深度 5 | 0.21 秒
70. v4：fxe8=Q+ | 深度 5 | 1.68 秒
70... material：Kg7 | 深度 5 | 0.47 秒
71. v4：Qf7+ | 深度 4 | 5.00 秒
71... material：Kh8 | 深度 5 | 0.47 秒
72. v4：Qh7# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE

===== 第 24/40 盘：维也纳，白方 material，黑方 v4 =====
4. material：d3 | 深度 3 | 5.00 秒
4... v4：Bc5 | 深度 4 | 5.00 秒
5. material：Nf3 | 深度 3 | 5.00 秒
5... v4：O-O | 深度 3 | 5.00 秒
6. material：O-O | 深度 3 | 5.00 秒
6... v4：Be7 | 深度 3 | 5.00 秒
7. material：h3 | 深度 3 | 5.00 秒
7... v4：Rb8 | 深度 3 | 5.00 秒
8. material：a4 | 深度 3 | 5.00 秒
8... v4：d6 | 深度 3 | 5.00 秒
9. material：Re1 | 深度 3 | 5.00 秒
9... v4：Be6 | 深度 4 | 5.00 秒
10. material：Nd5 | 深度 4 | 5.00 秒
10... v4：Nd4 | 深度 4 | 5.00 秒
11. material：Nxd4 | 深度 4 | 5.00 秒
11... v4：exd4 | 深度 5 | 4.52 秒
12. material：Nxe7+ | 深度 4 | 5.00 秒
12... v4：Qxe7 | 深度 5 | 3.35 秒
13. material：Bxe6 | 深度 4 | 5.00 秒
13... v4：Qxe6 | 深度 4 | 5.00 秒
14. material：Bd2 | 深度 4 | 5.00 秒
14... v4：Rbe8 | 深度 4 | 5.00 秒
15. material：Qe2 | 深度 3 | 5.00 秒
15... v4：d5 | 深度 4 | 5.00 秒
16. material：Bb4 | 深度 4 | 5.00 秒
16... v4：dxe4 | 深度 4 | 5.00 秒
17. material：Bxf8 | 深度 4 | 5.00 秒
17... v4：Rxf8 | 深度 4 | 5.00 秒
18. material：dxe4 | 深度 4 | 5.00 秒
18... v4：Re8 | 深度 3 | 5.00 秒
19. material：e5 | 深度 3 | 5.00 秒
19... v4：Nd7 | 深度 4 | 5.00 秒
20. material：Rad1 | 深度 3 | 5.00 秒
20... v4：Nxe5 | 深度 4 | 5.00 秒
21. material：Qb5 | 深度 3 | 5.00 秒
21... v4：a5 | 深度 4 | 5.00 秒
22. material：f4 | 深度 3 | 5.00 秒
22... v4：Nf3+ | 深度 5 | 4.43 秒
23. material：gxf3 | 深度 5 | 1.61 秒
23... v4：Qxe1+ | 深度 5 | 1.58 秒
24. material：Rxe1 | 深度 5 | 1.04 秒
24... v4：Rxe1+ | 深度 5 | 0.77 秒
25. material：Kf2 | 深度 5 | 1.08 秒
25... v4：Re7 | 深度 5 | 2.46 秒
26. material：Qxb7 | 深度 5 | 4.15 秒
26... v4：h6 | 深度 5 | 2.37 秒
27. material：Qa8+ | 深度 5 | 2.25 秒
27... v4：Kh7 | 深度 5 | 0.61 秒
28. material：Qxa5 | 深度 5 | 4.27 秒
28... v4：g6 | 深度 5 | 2.99 秒
29. material：Qd5 | 深度 5 | 3.05 秒
29... v4：Re6 | 深度 5 | 2.80 秒
30. material：Qxd4 | 深度 5 | 4.20 秒
30... v4：Rc6 | 深度 5 | 2.24 秒
31. material：Qe4 | 深度 5 | 3.44 秒
31... v4：Rd6 | 深度 5 | 2.00 秒
32. material：Qe7 | 深度 5 | 4.98 秒
32... v4：Kg8 | 深度 5 | 1.25 秒
33. material：Qxc7 | 深度 4 | 5.00 秒
33... v4：Rd2+ | 深度 5 | 1.59 秒
34. material：Ke3 | 深度 5 | 1.52 秒
34... v4：Rd1 | 深度 5 | 1.44 秒
35. material：a5 | 深度 4 | 5.00 秒
35... v4：Rb1 | 深度 5 | 2.27 秒
36. material：b3 | 深度 4 | 5.00 秒
36... v4：Kg7 | 深度 5 | 2.57 秒
37. material：a6 | 深度 4 | 5.00 秒
37... v4：Re1+ | 深度 5 | 2.55 秒
38. material：Kd3 | 深度 5 | 2.23 秒
38... v4：Rd1+ | 深度 5 | 3.52 秒
39. material：Ke2 | 深度 5 | 2.89 秒
39... v4：Rh1 | 深度 5 | 1.79 秒
40. material：a7 | 深度 5 | 3.83 秒
40... v4：g5 | 深度 5 | 2.91 秒
41. material：a8=Q | 深度 4 | 5.00 秒
41... v4：Rh2+ | 深度 5 | 1.44 秒
42. material：Kd3 | 深度 5 | 4.49 秒
42... v4：Rxh3 | 深度 5 | 4.41 秒
43. material：Qe7 | 深度 4 | 5.00 秒
43... v4：Rxf3+ | 深度 5 | 0.49 秒
44. material：Qxf3 | 深度 5 | 4.96 秒
44... v4：Kg6 | 深度 5 | 3.02 秒
45. material：f5+ | 深度 4 | 5.00 秒
45... v4：Kg7 | 深度 5 | 1.65 秒
46. material：Qh5 | 深度 4 | 5.00 秒
46... v4：g4 | 深度 5 | 1.64 秒
47. material：Qexf7+ | 深度 4 | 5.00 秒
47... v4：Kh8 | 深度 5 | 0.82 秒
48. material：Qxh6# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_12.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_12
