本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 9/40 盘：西西里式，白方 v4，黑方 material =====
4. v4：Qxd4 | 深度 4 | 5.00 秒
4... material：Nc6 | 深度 4 | 5.00 秒
5. v4：Qd2 | 深度 4 | 5.00 秒
5... material：Nf6 | 深度 3 | 5.00 秒
6. v4：Nc3 | 深度 4 | 5.00 秒
6... material：g6 | 深度 3 | 5.00 秒
7. v4：Bc4 | 深度 4 | 5.00 秒
7... material：Bg7 | 深度 3 | 5.00 秒
8. v4：Bd5 | 深度 3 | 5.00 秒
8... material：Nxd5 | 深度 4 | 5.00 秒
9. v4：exd5 | 深度 4 | 5.00 秒
9... material：Ne5 | 深度 4 | 5.00 秒
10. v4：Nxe5 | 深度 4 | 5.00 秒
10... material：dxe5 | 深度 4 | 5.00 秒
11. v4：Qg5 | 深度 4 | 5.00 秒
11... material：O-O | 深度 3 | 5.00 秒
12. v4：h4 | 深度 4 | 5.00 秒
12... material：f5 | 深度 3 | 5.00 秒
13. v4：Kd2 | 深度 3 | 5.00 秒
13... material：Be6 | 深度 3 | 5.00 秒
14. v4：Rh3 | 深度 4 | 5.00 秒
14... material：Bxd5 | 深度 3 | 5.00 秒
15. v4：Ke1 | 深度 4 | 5.00 秒
15... material：Be6 | 深度 4 | 5.00 秒
16. v4：Rd3 | 深度 4 | 5.00 秒
16... material：Qc7 | 深度 4 | 5.00 秒
17. v4：Rd1 | 深度 3 | 5.00 秒
17... material：Kh8 | 深度 3 | 5.00 秒
18. v4：Qg3 | 深度 3 | 5.00 秒
18... material：Rad8 | 深度 3 | 5.00 秒
19. v4：Rxd8 | 深度 4 | 5.00 秒
19... material：Rxd8 | 深度 4 | 5.00 秒
20. v4：Bg5 | 深度 3 | 5.00 秒
20... material：h6 | 深度 3 | 5.00 秒
21. v4：Be3 | 深度 4 | 5.00 秒
21... material：g5 | 深度 4 | 5.00 秒
22. v4：hxg5 | 深度 3 | 5.00 秒
22... material：f4 | 深度 4 | 5.00 秒
23. v4：Qh4 | 深度 4 | 5.00 秒
23... material：fxe3 | 深度 4 | 5.00 秒
24. v4：fxe3 | 深度 4 | 5.00 秒
24... material：Qc5 | 深度 4 | 5.00 秒
25. v4：gxh6 | 深度 4 | 5.00 秒
25... material：Qxe3+ | 深度 4 | 5.00 秒
26. v4：Ne2 | 深度 5 | 1.84 秒
26... material：Bf8 | 深度 4 | 5.00 秒
27. v4：Rd1 | 深度 4 | 5.00 秒
27... material：Rxd1+ | 深度 4 | 5.00 秒
28. v4：Kxd1 | 深度 5 | 1.84 秒
28... material：Bxa2 | 深度 4 | 5.00 秒
29. v4：Qa4 | 深度 4 | 5.00 秒
29... material：Bd5 | 深度 4 | 5.00 秒
30. v4：Qe8 | 深度 4 | 5.00 秒
30... material：Qxh6 | 深度 5 | 2.65 秒
31. v4：Qb8 | 深度 5 | 3.47 秒
31... material：Qh1+ | 深度 4 | 5.00 秒
32. v4：Kd2 | 深度 5 | 0.55 秒
32... material：Qh6+ | 深度 5 | 2.16 秒
33. v4：Kd3 | 深度 5 | 4.06 秒
33... material：Qg7 | 深度 4 | 5.00 秒
34. v4：g4 | 深度 5 | 3.70 秒
34... material：Qg6+ | 深度 4 | 5.00 秒
35. v4：Kd2 | 深度 5 | 1.70 秒
35... material：Qg7 | 深度 4 | 5.00 秒
36. v4：Ke1 | 深度 4 | 5.00 秒
36... material：Bf3 | 深度 4 | 5.00 秒
37. v4：g5 | 深度 4 | 5.00 秒
37... material：Bh1 | 深度 4 | 5.00 秒
38. v4：Ng3 | 深度 5 | 4.52 秒
38... material：Bg2 | 深度 5 | 4.73 秒
39. v4：Nf5 | 深度 5 | 4.55 秒
39... material：Qf7 | 深度 5 | 3.02 秒
40. v4：Qxe5+ | 深度 5 | 3.81 秒
40... material：Kg8 | 深度 4 | 5.00 秒
41. v4：Ne3 | 深度 4 | 5.00 秒
41... material：Bf3 | 深度 4 | 5.00 秒
42. v4：b4 | 深度 4 | 5.00 秒
42... material：Bh1 | 深度 4 | 5.00 秒
43. v4：c4 | 深度 4 | 5.00 秒
43... material：Qg7 | 深度 4 | 5.00 秒
44. v4：Qe6+ | 深度 5 | 3.22 秒
44... material：Qf7 | 深度 5 | 1.99 秒
45. v4：Qxf7+ | 深度 5 | 4.50 秒
45... material：Kxf7 | 深度 5 | 0.26 秒
46. v4：Ng4 | 深度 5 | 1.56 秒
46... material：Kg6 | 深度 5 | 0.85 秒
47. v4：Ne5+ | 深度 5 | 0.56 秒
47... material：Kxg5 | 深度 5 | 0.44 秒
48. v4：b5 | 深度 5 | 1.70 秒
48... material：Bg7 | 深度 5 | 0.72 秒
49. v4：Nf7+ | 深度 5 | 1.35 秒
49... material：Kf6 | 深度 5 | 1.68 秒
50. v4：Nd8 | 深度 5 | 1.13 秒
50... material：Bg2 | 深度 5 | 2.28 秒
51. v4：Kf2 | 深度 5 | 0.83 秒
51... material：Be4 | 深度 5 | 1.06 秒
52. v4：Kg3 | 深度 5 | 1.62 秒
52... material：Ke5 | 深度 5 | 3.31 秒
53. v4：Nf7+ | 深度 5 | 1.63 秒
53... material：Kf6 | 深度 5 | 1.19 秒
54. v4：Nd8 | 深度 5 | 1.50 秒
54... material：Ke5 | 深度 5 | 3.31 秒
55. v4：Nf7+ | 深度 5 | 2.58 秒
55... material：Kd4 | 深度 5 | 1.08 秒
56. v4：Ng5 | 深度 5 | 1.48 秒
56... material：Bf5 | 深度 5 | 3.09 秒
57. v4：Kf4 | 深度 5 | 2.30 秒
57... material：Bc8 | 深度 5 | 2.43 秒
58. v4：c5 | 深度 5 | 1.98 秒
58... material：Bh6 | 深度 5 | 1.62 秒
59. v4：c6 | 深度 5 | 1.04 秒
59... material：e5+ | 深度 5 | 1.05 秒
60. v4：Kg3 | 深度 5 | 0.71 秒
60... material：Bxg5 | 深度 5 | 1.07 秒
61. v4：cxb7 | 深度 5 | 1.35 秒
61... material：Bxb7 | 深度 5 | 1.27 秒
62. v4：Kg4 | 深度 5 | 0.84 秒
62... material：Bf4 | 深度 5 | 1.60 秒
63. v4：Kf5 | 深度 5 | 0.98 秒
63... material：Kc5 | 深度 5 | 1.86 秒
64. v4：Kf6 | 深度 5 | 0.90 秒
64... material：Kxb5 | 深度 5 | 2.05 秒
65. v4：Ke6 | 深度 5 | 1.94 秒
65... material：Ka6 | 深度 5 | 2.20 秒
66. v4：Kf6 | 深度 5 | 1.18 秒
66... material：e4 | 深度 5 | 1.09 秒
67. v4：Kf5 | 深度 5 | 0.61 秒
67... material：e3 | 深度 5 | 0.80 秒
68. v4：Kxf4 | 深度 5 | 0.22 秒
68... material：e2 | 深度 5 | 0.32 秒
69. v4：Ke3 | 深度 5 | 0.68 秒
69... material：e1=Q+ | 深度 5 | 0.66 秒
70. v4：Kf4 | 深度 5 | 1.25 秒
70... material：Qd2+ | 深度 4 | 5.00 秒
71. v4：Ke5 | 深度 5 | 2.08 秒
71... material：Qe3+ | 深度 4 | 5.00 秒
72. v4：Kf5 | 深度 5 | 1.13 秒
72... material：Qd3+ | 深度 4 | 5.00 秒
73. v4：Kf6 | 深度 5 | 1.61 秒
73... material：Qd1 | 深度 4 | 5.00 秒
74. v4：Ke5 | 深度 5 | 2.77 秒
74... material：Qa4 | 深度 4 | 5.00 秒
75. v4：Kf6 | 深度 5 | 1.31 秒
75... material：Qa5 | 深度 4 | 5.00 秒
76. v4：Kg7 | 深度 5 | 1.87 秒
76... material：Kb6 | 深度 4 | 5.00 秒
77. v4：Kf6 | 深度 5 | 1.53 秒
77... material：Qa6 | 深度 4 | 5.00 秒
78. v4：Kg5 | 深度 5 | 1.85 秒
78... material：Qa5+ | 深度 4 | 5.00 秒
79. v4：Kf4 | 深度 5 | 3.53 秒
79... material：Qa6 | 深度 4 | 5.00 秒
80. v4：Ke3 | 深度 5 | 2.08 秒
80... material：Qa2 | 深度 4 | 5.00 秒
81. v4：Kf4 | 深度 5 | 2.91 秒
81... material：a5 | 深度 4 | 5.00 秒
82. v4：Kf5 | 深度 5 | 4.00 秒
82... material：a4 | 深度 4 | 5.00 秒
83. v4：Kf4 | 深度 5 | 4.07 秒
83... material：a3 | 深度 4 | 5.00 秒
84. v4：Kg5 | 深度 5 | 2.49 秒
84... material：Qb2 | 深度 4 | 5.00 秒
85. v4：Kg6 | 深度 5 | 1.94 秒
85... material：a2 | 深度 4 | 5.00 秒
86. v4：Kf7 | 深度 5 | 3.14 秒
86... material：a1=Q | 深度 4 | 5.00 秒
87. v4：Ke7 | 深度 5 | 3.57 秒
87... material：Qg7+ | 深度 4 | 5.00 秒
88. v4：Kd6 | 深度 5 | 2.52 秒
88... material：Qaf6# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 10/40 盘：西西里式，白方 material，黑方 v4 =====
4. material：Nxd4 | 深度 4 | 5.00 秒
4... v4：e5 | 深度 4 | 5.00 秒
5. material：Nb3 | 深度 4 | 5.00 秒
5... v4：Qh4 | 深度 4 | 5.00 秒
6. material：Nc3 | 深度 4 | 5.00 秒
6... v4：Kd8 | 深度 3 | 5.00 秒
7. material：Be3 | 深度 3 | 5.00 秒
7... v4：Be6 | 深度 3 | 5.00 秒
