本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 11/40 盘：法兰西式，白方 v4，黑方 material =====
4. v4：e5 | 深度 4 | 5.00 秒
4... material：Nfd7 | 深度 4 | 5.00 秒
5. v4：Qh5 | 深度 4 | 5.00 秒
5... material：c5 | 深度 4 | 5.00 秒
6. v4：dxc5 | 深度 4 | 5.00 秒
6... material：Bxc5 | 深度 3 | 5.00 秒
7. v4：Bg5 | 深度 3 | 5.00 秒
7... material：Qb6 | 深度 3 | 5.00 秒
8. v4：O-O-O | 深度 3 | 5.00 秒
8... material：Bxf2 | 深度 3 | 5.00 秒
9. v4：Nh3 | 深度 3 | 5.00 秒
9... material：Be3+ | 深度 3 | 5.00 秒
10. v4：Bxe3 | 深度 4 | 5.00 秒
10... material：Qxe3+ | 深度 4 | 5.00 秒
11. v4：Kb1 | 深度 4 | 5.00 秒
11... material：Nxe5 | 深度 3 | 5.00 秒
12. v4：Qe2 | 深度 3 | 5.00 秒
12... material：Nc4 | 深度 4 | 5.00 秒
13. v4：Qf2 | 深度 4 | 5.00 秒
13... material：Qxf2 | 深度 4 | 5.00 秒
14. v4：Nxf2 | 深度 5 | 4.74 秒
14... material：Nc6 | 深度 4 | 5.00 秒
15. v4：Bxc4 | 深度 4 | 5.00 秒
15... material：dxc4 | 深度 4 | 5.00 秒
16. v4：Nfe4 | 深度 4 | 5.00 秒
16... material：O-O | 深度 5 | 4.07 秒
17. v4：Nd6 | 深度 4 | 5.00 秒
17... material：Ne5 | 深度 4 | 5.00 秒
18. v4：Ncb5 | 深度 4 | 5.00 秒
18... material：a6 | 深度 4 | 5.00 秒
19. v4：Nc7 | 深度 4 | 5.00 秒
19... material：Rb8 | 深度 4 | 5.00 秒
20. v4：a4 | 深度 4 | 5.00 秒
20... material：Rd8 | 深度 4 | 5.00 秒
21. v4：Rhe1 | 深度 4 | 5.00 秒
21... material：Ng4 | 深度 4 | 5.00 秒
22. v4：h3 | 深度 4 | 5.00 秒
22... material：Nf2 | 深度 4 | 5.00 秒
23. v4：Rd2 | 深度 4 | 5.00 秒
23... material：Nd3 | 深度 4 | 5.00 秒
24. v4：Nxc4 | 深度 4 | 5.00 秒
24... material：b5 | 深度 4 | 5.00 秒
25. v4：Ne5 | 深度 4 | 5.00 秒
25... material：Rb7 | 深度 4 | 5.00 秒
26. v4：Na8 | 深度 4 | 5.00 秒
26... material：Rb8 | 深度 4 | 5.00 秒
27. v4：Nc7 | 深度 4 | 5.00 秒
27... material：Rb7 | 深度 4 | 5.00 秒
28. v4：Na8 | 深度 4 | 5.00 秒
