本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 5/20 盘：对称英国式，白方 candidate，黑方 material =====
14. material：Qd3 | 深度 3 | 5.00 秒
14... candidate：Bd6 | 深度 3 | 5.00 秒
15. material：Qc2 | 深度 3 | 5.00 秒
15... candidate：Kd8 | 深度 3 | 5.00 秒
16. material：Qc3 | 深度 3 | 5.00 秒
16... candidate：Re8 | 深度 3 | 5.00 秒
17. material：a4 | 深度 3 | 5.00 秒
17... candidate：Qe7 | 深度 3 | 5.00 秒
18. material：Qc4 | 深度 4 | 5.00 秒
18... candidate：a5 | 深度 3 | 5.00 秒
19. material：Qd3 | 深度 4 | 5.00 秒
19... candidate：Qe5 | 深度 3 | 5.00 秒
20. material：O-O | 深度 3 | 5.00 秒
20... candidate：h5 | 深度 3 | 5.00 秒
21. material：Qb3 | 深度 4 | 5.00 秒
21... candidate：Ra7 | 深度 3 | 5.00 秒
22. material：Qb6+ | 深度 4 | 5.00 秒
22... candidate：Rc7 | 深度 4 | 5.00 秒
23. material：Qa6 | 深度 4 | 5.00 秒
23... candidate：Qxe2 | 深度 3 | 5.00 秒
24. material：Qa8+ | 深度 5 | 4.42 秒
24... candidate：Kd7 | 深度 4 | 5.00 秒
25. material：Qxa5 | 深度 4 | 5.00 秒
25... candidate：h4 | 深度 3 | 5.00 秒
26. material：Qb6 | 深度 4 | 5.00 秒
26... candidate：hxg3 | 深度 3 | 5.00 秒
27. material：hxg3 | 深度 4 | 5.00 秒
27... candidate：Rh8 | 深度 3 | 5.00 秒
28. material：Kg2 | 深度 4 | 5.00 秒
28... candidate：Qe4+ | 深度 3 | 5.00 秒
29. material：f3 | 深度 4 | 5.00 秒
29... candidate：Qe2+ | 深度 3 | 5.00 秒
30. material：Rf2 | 深度 5 | 4.62 秒
30... candidate：Qe1 | 深度 3 | 5.00 秒
31. material：Qxc7+ | 深度 3 | 5.00 秒
31... candidate：Bxc7 | 深度 4 | 5.00 秒
32. material：Re2 | 深度 3 | 5.00 秒
32... candidate：Qxg3+ | 深度 4 | 5.00 秒
33. material：Kf1 | 深度 5 | 1.36 秒
33... candidate：Rh1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_03.zip

===== 比赛结束 =====
价值版获胜： 1
子力版获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_03
