本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 9/20 盘：西西里式，白方 candidate，黑方 material =====
15... candidate：Bh8 | 深度 2 | 5.00 秒
16. material：Rfd1 | 深度 3 | 5.00 秒
16... candidate：Qd7 | 深度 3 | 5.00 秒
17. material：a3 | 深度 3 | 5.00 秒
17... candidate：Qd8 | 深度 2 | 5.00 秒
18. material：Nd5 | 深度 3 | 5.00 秒
18... candidate：Bxd5 | 深度 3 | 5.00 秒
19. material：exd5 | 深度 4 | 5.00 秒
19... candidate：Rg7 | 深度 3 | 5.00 秒
20. material：Qd3 | 深度 3 | 5.00 秒
20... candidate：Ra5 | 深度 3 | 5.00 秒
21. material：h3 | 深度 3 | 5.00 秒
21... candidate：Qd7 | 深度 3 | 5.00 秒
22. material：c3 | 深度 3 | 5.00 秒
22... candidate：b5 | 深度 3 | 5.00 秒
23. material：Ba2 | 深度 4 | 5.00 秒
23... candidate：Qc8 | 深度 2 | 5.00 秒
24. material：c4 | 深度 3 | 5.00 秒
24... candidate：Qb7 | 深度 3 | 5.00 秒
25. material：Rac1 | 深度 3 | 5.00 秒
25... candidate：b4 | 深度 3 | 5.00 秒
26. material：axb4 | 深度 4 | 5.00 秒
26... candidate：Qxb4 | 深度 3 | 5.00 秒
27. material：Rc2 | 深度 3 | 5.00 秒
27... candidate：e4 | 深度 2 | 5.00 秒
28. material：Nxe4 | 深度 4 | 5.00 秒
28... candidate：Nxe4 | 深度 4 | 5.00 秒
29. material：Qxe4+ | 深度 4 | 5.00 秒
29... candidate：Kd7 | 深度 3 | 5.00 秒
30. material：Qf3 | 深度 3 | 5.00 秒
30... candidate：Ke7 | 深度 3 | 5.00 秒
31. material：Rd3 | 深度 3 | 5.00 秒
31... candidate：Qe1+ | 深度 3 | 5.00 秒
32. material：Kh2 | 深度 4 | 5.00 秒
32... candidate：Qb4 | 深度 3 | 5.00 秒
33. material：Rcd2 | 深度 3 | 5.00 秒
33... candidate：Na6 | 深度 3 | 5.00 秒
34. material：Re2+ | 深度 3 | 5.00 秒
34... candidate：Kd7 | 深度 3 | 5.00 秒
35. material：Qe3 | 深度 3 | 5.00 秒
35... candidate：Nc5 | 深度 3 | 5.00 秒
36. material：Qe8+ | 深度 4 | 5.00 秒
36... candidate：Kc7 | 深度 4 | 5.00 秒
37. material：Re7+ | 深度 3 | 5.00 秒
37... candidate：Nd7 | 深度 3 | 5.00 秒
38. material：Qxd7+ | 深度 3 | 5.00 秒
38... candidate：Kb6 | 深度 4 | 5.00 秒
39. material：Qc6# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_05.zip

===== 比赛结束 =====
价值版获胜： 1
子力版获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_05
