本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 15/20 盘：斯拉夫式，白方 candidate，黑方 material =====
11... candidate：O-O | 深度 3 | 5.00 秒
12. material：b3 | 深度 3 | 5.00 秒
12... candidate：e6 | 深度 3 | 5.00 秒
13. material：Bb2 | 深度 4 | 5.00 秒
13... candidate：b6 | 深度 3 | 5.00 秒
14. material：Ne5 | 深度 3 | 5.00 秒
14... candidate：Nxe5 | 深度 3 | 5.00 秒
15. material：dxe5 | 深度 4 | 5.00 秒
15... candidate：Nd7 | 深度 4 | 5.00 秒
16. material：f4 | 深度 4 | 5.00 秒
16... candidate：gxf4 | 深度 3 | 5.00 秒
17. material：exf4 | 深度 4 | 5.00 秒
17... candidate：f5 | 深度 3 | 5.00 秒
18. material：exf6 | 深度 3 | 5.00 秒
18... candidate：Nxf6 | 深度 3 | 5.00 秒
19. material：Rae1 | 深度 3 | 5.00 秒
19... candidate：h5 | 深度 3 | 5.00 秒
20. material：Ne2 | 深度 3 | 5.00 秒
20... candidate：b5 | 深度 3 | 5.00 秒
21. material：axb5 | 深度 3 | 5.00 秒
21... candidate：axb5 | 深度 3 | 5.00 秒
22. material：Nd4 | 深度 3 | 5.00 秒
22... candidate：Rb6 | 深度 3 | 5.00 秒
23. material：Nxb5 | 深度 3 | 5.00 秒
23... candidate：Rxb5 | 深度 3 | 5.00 秒
24. material：Bxb5 | 深度 3 | 5.00 秒
24... candidate：Qb6+ | 深度 4 | 5.00 秒
25. material：Bd4 | 深度 5 | 4.94 秒
25... candidate：Qxd4+ | 深度 4 | 5.00 秒
26. material：Qf2 | 深度 4 | 5.00 秒
26... candidate：Ne4 | 深度 4 | 5.00 秒
27. material：Qxd4 | 深度 5 | 3.01 秒
27... candidate：Bxd4+ | 深度 4 | 5.00 秒
28. material：Kh2 | 深度 4 | 5.00 秒
28... candidate：Nd2 | 深度 3 | 5.00 秒
29. material：Rh1 | 深度 5 | 4.73 秒
29... candidate：Rxf4 | 深度 3 | 5.00 秒
30. material：Be8 | 深度 4 | 5.00 秒
30... candidate：Nxb3 | 深度 3 | 5.00 秒
31. material：Bxh5 | 深度 4 | 5.00 秒
31... candidate：Bf2 | 深度 3 | 5.00 秒
