本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 17/20 盘：王印式，白方 candidate，黑方 material =====
10... candidate：Na6 | 深度 3 | 5.00 秒
11. material：h4 | 深度 3 | 5.00 秒
11... candidate：Qa5 | 深度 3 | 5.00 秒
12. material：Qd2 | 深度 3 | 5.00 秒
12... candidate：Qb6 | 深度 2 | 5.00 秒
13. material：Nh3 | 深度 3 | 5.00 秒
13... candidate：Rc8 | 深度 3 | 5.00 秒
14. material：O-O | 深度 3 | 5.00 秒
14... candidate：Rf8 | 深度 3 | 5.00 秒
15. material：Bf2 | 深度 3 | 5.00 秒
15... candidate：Ng8 | 深度 3 | 5.00 秒
16. material：f4 | 深度 3 | 5.00 秒
16... candidate：Nf6 | 深度 3 | 5.00 秒
17. material：Rfb1 | 深度 3 | 5.00 秒
17... candidate：Qc7 | 深度 3 | 5.00 秒
18. material：Ng5 | 深度 3 | 5.00 秒
18... candidate：h6 | 深度 3 | 5.00 秒
19. material：e5 | 深度 4 | 5.00 秒
19... candidate：dxe5 | 深度 4 | 5.00 秒
20. material：fxe5 | 深度 4 | 5.00 秒
20... candidate：Qxe5 | 深度 3 | 5.00 秒
21. material：Nf3 | 深度 3 | 5.00 秒
21... candidate：Qe4 | 深度 3 | 5.00 秒
22. material：g5 | 深度 3 | 5.00 秒
22... candidate：Qg4+ | 深度 3 | 5.00 秒
23. material：Kh1 | 深度 4 | 5.00 秒
23... candidate：Ne4 | 深度 3 | 5.00 秒
24. material：Qe3 | 深度 4 | 5.00 秒
24... candidate：hxg5 | 深度 3 | 5.00 秒
25. material：Nxg5 | 深度 4 | 5.00 秒
25... candidate：Nxf2+ | 深度 4 | 5.00 秒
26. material：Qxf2 | 深度 5 | 1.99 秒
26... candidate：Qf5 | 深度 4 | 5.00 秒
27. material：Qxf5 | 深度 4 | 5.00 秒
27... candidate：gxf5 | 深度 4 | 5.00 秒
28. material：Rxb7 | 深度 4 | 5.00 秒
28... candidate：Rh8 | 深度 4 | 5.00 秒
29. material：Rxa7 | 深度 4 | 5.00 秒
29... candidate：Rxh4+ | 深度 3 | 5.00 秒
30. material：Kg2 | 深度 5 | 4.03 秒
30... candidate：f6 | 深度 3 | 5.00 秒
31. material：Nf7 | 深度 4 | 5.00 秒
31... candidate：Kxf7 | 深度 3 | 5.00 秒
32. material：Rxd7 | 深度 4 | 5.00 秒
32... candidate：Rg8+ | 深度 4 | 5.00 秒
33. material：Kf3 | 深度 5 | 2.55 秒
33... candidate：Rgg4 | 深度 3 | 5.00 秒
34. material：Rf1 | 深度 4 | 5.00 秒
34... candidate：Rh3+ | 深度 4 | 5.00 秒
35. material：Kf2 | 深度 5 | 1.92 秒
35... candidate：Rf4+ | 深度 4 | 5.00 秒
36. material：Kg2 | 深度 5 | 0.55 秒
36... candidate：Rxf1 | 深度 4 | 5.00 秒
37. material：Kxh3 | 深度 5 | 1.95 秒
37... candidate：Rf2 | 深度 4 | 5.00 秒
38. material：Bh5+ | 深度 5 | 0.55 秒
38... candidate：Kf8 | 深度 5 | 2.11 秒
39. material：d6 | 深度 5 | 0.92 秒
39... candidate：exd6 | 深度 5 | 1.67 秒
40. material：Rxd6 | 深度 5 | 1.12 秒
40... candidate：Rxa2 | 深度 5 | 2.47 秒
41. material：Rxf6+ | 深度 5 | 1.40 秒
41... candidate：Ke7 | 深度 5 | 4.75 秒
42. material：Rxf5 | 深度 5 | 1.69 秒
42... candidate：Rc2 | 深度 4 | 5.00 秒
43. material：Re5+ | 深度 5 | 1.36 秒
43... candidate：Kd7 | 深度 4 | 5.00 秒
44. material：Rd5+ | 深度 5 | 1.41 秒
44... candidate：Kc7 | 深度 4 | 5.00 秒
45. material：Rd3 | 深度 5 | 0.68 秒
45... candidate：Nb8 | 深度 4 | 5.00 秒
46. material：Kg4 | 深度 5 | 2.46 秒
46... candidate：Nd7 | 深度 4 | 5.00 秒
47. material：Re3 | 深度 5 | 4.96 秒
47... candidate：Nf6+ | 深度 4 | 5.00 秒
48. material：Kg5 | 深度 5 | 1.09 秒
48... candidate：Rxc3 | 深度 4 | 5.00 秒
49. material：Rxc3 | 深度 5 | 1.15 秒
49... candidate：Ne4+ | 深度 5 | 0.92 秒
50. material：Kf4 | 深度 5 | 0.21 秒
50... candidate：Nxc3 | 深度 5 | 1.71 秒
51. material：Ke5 | 深度 5 | 0.44 秒
51... candidate：Kd7 | 深度 5 | 2.40 秒
52. material：Bf7 | 深度 5 | 0.32 秒
52... candidate：Ke7 | 深度 5 | 3.40 秒
53. material：Bg6 | 深度 5 | 0.27 秒
53... candidate：Ne2 | 深度 5 | 3.44 秒
54. material：Kf5 | 深度 5 | 0.69 秒
54... candidate：Nd4+ | 深度 5 | 3.17 秒
55. material：Ke5 | 深度 5 | 0.33 秒
55... candidate：Ne2 | 深度 5 | 3.47 秒
56. material：Kf5 | 深度 5 | 0.75 秒
56... candidate：Nd4+ | 深度 5 | 3.29 秒
57. material：Ke4 | 深度 5 | 0.32 秒
57... candidate：Kf6 | 深度 5 | 3.60 秒
58. material：Bh5 | 深度 5 | 0.26 秒
58... candidate：Kg5 | 深度 5 | 4.40 秒
59. material：Bf7 | 深度 5 | 0.29 秒
59... candidate：Kf6 | 深度 5 | 3.22 秒
60. material：Bd5 | 深度 5 | 0.30 秒
60... candidate：Kg6 | 深度 5 | 4.84 秒
61. material：Ke5 | 深度 5 | 0.42 秒
61... candidate：Nb3 | 深度 5 | 4.36 秒
62. material：Ke4 | 深度 5 | 0.97 秒
62... candidate：Kg5 | 深度 4 | 5.00 秒
63. material：Ke5 | 深度 5 | 0.63 秒
63... candidate：Kg4 | 深度 4 | 5.00 秒
64. material：Ke4 | 深度 5 | 0.89 秒
64... candidate：Nd2+ | 深度 5 | 2.93 秒
65. material：Ke3 | 深度 5 | 0.38 秒
65... candidate：Nb3 | 深度 5 | 2.75 秒
66. material：Ke4 | 深度 5 | 1.04 秒
66... candidate：Nd4 | 深度 5 | 3.04 秒
67. material：Ke5 | 深度 5 | 0.46 秒
67... candidate：Kg3 | 深度 4 | 5.00 秒
68. material：Ke4 | 深度 5 | 1.13 秒
68... candidate：Nf3 | 深度 4 | 5.00 秒
