本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

38... candidate：Bg8 | 深度 3 | 5.00 秒
39. material：Kf1 | 深度 3 | 5.00 秒
39... candidate：Rc2 | 深度 3 | 5.00 秒
40. material：Ra1 | 深度 4 | 5.00 秒
40... candidate：a5 | 深度 3 | 5.00 秒
41. material：Bxb6 | 深度 4 | 5.00 秒
41... candidate：R2xc3 | 深度 3 | 5.00 秒
42. material：Bxa5 | 深度 3 | 5.00 秒
42... candidate：Rc1+ | 深度 4 | 5.00 秒
43. material：Rxc1 | 深度 5 | 0.70 秒
43... candidate：Rxc1+ | 深度 5 | 4.46 秒
44. material：Ke2 | 深度 5 | 3.19 秒
44... candidate：Kf7 | 深度 4 | 5.00 秒
45. material：Kd2 | 深度 5 | 2.46 秒
45... candidate：Rc8 | 深度 4 | 5.00 秒
46. material：Bc3 | 深度 5 | 1.29 秒
46... candidate：Rd8+ | 深度 4 | 5.00 秒
47. material：Ke3 | 深度 5 | 2.60 秒
47... candidate：Rc8 | 深度 4 | 5.00 秒
48. material：Bd4 | 深度 5 | 3.12 秒
48... candidate：Re8+ | 深度 4 | 5.00 秒
49. material：Kf2 | 深度 5 | 2.22 秒
49... candidate：Rd8 | 深度 4 | 5.00 秒
50. material：Be5 | 深度 5 | 4.40 秒
50... candidate：Rd5 | 深度 4 | 5.00 秒
51. material：Rh5 | 深度 5 | 3.37 秒
51... candidate：Rd3 | 深度 3 | 5.00 秒
52. material：Ke2 | 深度 4 | 5.00 秒
52... candidate：Ra3 | 深度 4 | 5.00 秒
53. material：Rh8 | 深度 4 | 5.00 秒
53... candidate：Ra7 | 深度 4 | 5.00 秒
54. material：Kd2 | 深度 4 | 5.00 秒
54... candidate：Re7 | 深度 4 | 5.00 秒
55. material：Bd4 | 深度 5 | 2.80 秒
55... candidate：Re4 | 深度 4 | 5.00 秒
56. material：Bc3 | 深度 5 | 3.18 秒
56... candidate：Rf4 | 深度 4 | 5.00 秒
57. material：Kd3 | 深度 4 | 5.00 秒
57... candidate：Rf3+ | 深度 4 | 5.00 秒
58. material：Kd2 | 深度 5 | 1.19 秒
58... candidate：Rf2+ | 深度 4 | 5.00 秒
59. material：Kd3 | 深度 5 | 3.13 秒
59... candidate：Rf3+ | 深度 4 | 5.00 秒
60. material：Kd2 | 深度 5 | 1.17 秒
60... candidate：Rf1 | 深度 4 | 5.00 秒
61. material：Bd4 | 深度 4 | 5.00 秒
61... candidate：Rf3 | 深度 4 | 5.00 秒
62. material：Be5 | 深度 4 | 5.00 秒
