本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 1/20 盘：意大利式，白方 candidate，黑方 material =====
13... candidate：b4 | 深度 3 | 5.00 秒
14. material：Bd2 | 深度 4 | 5.00 秒
14... candidate：Bb7 | 深度 3 | 5.00 秒
15. material：h3 | 深度 3 | 5.00 秒
15... candidate：Nh6 | 深度 3 | 5.00 秒
16. material：Bg5+ | 深度 3 | 5.00 秒
16... candidate：f6 | 深度 4 | 5.00 秒
17. material：exf6+ | 深度 4 | 5.00 秒
17... candidate：Kd6 | 深度 3 | 5.00 秒
18. material：fxg7 | 深度 4 | 5.00 秒
18... candidate：Re8+ | 深度 4 | 5.00 秒
19. material：Kf1 | 深度 4 | 5.00 秒
19... candidate：Qc8 | 深度 3 | 5.00 秒
20. material：Bxh6 | 深度 3 | 5.00 秒
20... candidate：Rg8 | 深度 3 | 5.00 秒
21. material：Qc2 | 深度 3 | 5.00 秒
21... candidate：Qe6 | 深度 3 | 5.00 秒
22. material：Qxh7 | 深度 3 | 5.00 秒
22... candidate：Qf6 | 深度 2 | 5.00 秒
23. material：Rd1 | 深度 3 | 5.00 秒
23... candidate：a5 | 深度 3 | 5.00 秒
24. material：a4 | 深度 3 | 5.00 秒
24... candidate：bxa3 | 深度 3 | 5.00 秒
25. material：bxa3 | 深度 3 | 5.00 秒
25... candidate：a4 | 深度 3 | 5.00 秒
26. material：Bc2 | 深度 3 | 5.00 秒
26... candidate：Qf7 | 深度 3 | 5.00 秒
27. material：Bg6 | 深度 3 | 5.00 秒
27... candidate：Qe7 | 深度 3 | 5.00 秒
28. material：Bf4+ | 深度 3 | 5.00 秒
28... candidate：Ne5 | 深度 2 | 5.00 秒
29. material：dxe5+ | 深度 2 | 5.00 秒
29... candidate：Kd7 | 深度 3 | 5.00 秒
30. material：Bf5+ | 深度 3 | 5.00 秒
30... candidate：Kc6 | 深度 4 | 5.00 秒
31. material：Qg6+ | 深度 4 | 5.00 秒
31... candidate：Kc5 | 深度 3 | 5.00 秒
32. material：Rc1+ | 深度 3 | 5.00 秒
32... candidate：Kb5 | 深度 3 | 5.00 秒
33. material：Nd4+ | 深度 4 | 5.00 秒
33... candidate：Ka5 | 深度 3 | 5.00 秒
34. material：Bd2+ | 深度 4 | 5.00 秒
34... candidate：Qb4 | 深度 4 | 5.00 秒
35. material：axb4# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_01.zip

===== 比赛结束 =====
价值版获胜： 0
子力版获胜： 2
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_01
