本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 11/20 盘：法兰西式，白方 candidate，黑方 material =====
63... material：Kd6 | 深度 4 | 5.00 秒
64. candidate：e8=Q | 深度 3 | 5.00 秒
64... material：Rcxe8 | 深度 5 | 3.27 秒
65. candidate：Bxe8 | 深度 4 | 5.00 秒
65... material：Nxb2 | 深度 5 | 3.23 秒
66. candidate：Rxb7 | 深度 4 | 5.00 秒
66... material：Rxe8 | 深度 5 | 1.72 秒
67. candidate：Rb6+ | 深度 5 | 4.90 秒
67... material：Kd7 | 深度 5 | 0.59 秒
68. candidate：Kxd5 | 深度 4 | 5.00 秒
68... material：Na4 | 深度 5 | 1.66 秒
69. candidate：Rc6 | 深度 5 | 2.63 秒
69... material：Re1 | 深度 5 | 1.94 秒
70. candidate：Rd6+ | 深度 4 | 5.00 秒
70... material：Kc7 | 深度 5 | 0.52 秒
71. candidate：Rc6+ | 深度 4 | 5.00 秒
71... material：Kb7 | 深度 5 | 1.73 秒
72. candidate：Rd6 | 深度 3 | 5.00 秒
72... material：Nxc3+ | 深度 5 | 2.93 秒
73. candidate：Kd4 | 深度 5 | 2.67 秒
73... material：Rd1+ | 深度 5 | 2.32 秒
74. candidate：Ke5 | 深度 5 | 2.35 秒
74... material：Re1+ | 深度 5 | 2.53 秒
75. candidate：Kd4 | 深度 5 | 2.85 秒
75... material：Rd1+ | 深度 5 | 2.41 秒
76. candidate：Ke5 | 深度 5 | 2.17 秒
76... material：Rxd6 | 深度 5 | 2.24 秒
77. candidate：Kxd6 | 深度 5 | 2.45 秒
77... material：Ne4+ | 深度 5 | 0.92 秒
78. candidate：Ke6 | 深度 5 | 3.52 秒
78... material：Ng5+ | 深度 5 | 2.81 秒
79. candidate：Ke7 | 深度 5 | 3.33 秒
79... material：Nh7 | 深度 5 | 1.51 秒
80. candidate：f7 | 深度 5 | 2.13 秒
80... material：a5 | 深度 5 | 0.37 秒
81. candidate：bxa5 | 深度 5 | 1.91 秒
81... material：Ka6 | 深度 5 | 0.33 秒
82. candidate：f8=Q | 深度 5 | 1.12 秒
82... material：Nxf8 | 深度 5 | 0.15 秒
83. candidate：Kxf8 | 深度 5 | 0.62 秒
83... material：Kxa5 | 深度 5 | 0.07 秒
84. candidate：Ke7 | 深度 5 | 3.23 秒
84... material：Ka4 | 深度 5 | 0.17 秒
85. candidate：Kd6 | 深度 5 | 2.93 秒
85... material：Ka3 | 深度 5 | 0.12 秒
86. candidate：Kc5 | 深度 5 | 0.63 秒
86... material：Kxa2 | 深度 5 | 0.08 秒
87. candidate：Kxb5 | 深度 5 | 0.65 秒
87... material：Kb1 | 深度 5 | 0.08 秒
88. candidate：g4 | 深度 5 | 0.92 秒
88... material：Ka2 | 深度 5 | 0.06 秒
89. candidate：g5 | 深度 5 | 0.75 秒
89... material：Kb1 | 深度 5 | 0.20 秒
90. candidate：g6 | 深度 5 | 0.54 秒
90... material：Ka1 | 深度 5 | 0.23 秒
91. candidate：g7 | 深度 5 | 0.43 秒
91... material：Kb1 | 深度 5 | 0.12 秒
92. candidate：g8=Q | 深度 5 | 2.56 秒
92... material：Kc1 | 深度 5 | 0.43 秒
93. candidate：Qf7 | 深度 4 | 5.00 秒
93... material：Kb2 | 深度 5 | 0.53 秒
94. candidate：h4 | 深度 4 | 5.00 秒
94... material：Kc3 | 深度 5 | 0.46 秒
95. candidate：Kc6 | 深度 4 | 5.00 秒
95... material：Kb4 | 深度 5 | 0.52 秒
96. candidate：h5 | 深度 4 | 5.00 秒
96... material：Ka3 | 深度 5 | 1.22 秒
97. candidate：h6 | 深度 4 | 5.00 秒
97... material：Kb2 | 深度 5 | 0.85 秒
98. candidate：h7 | 深度 4 | 5.00 秒
98... material：Kc3 | 深度 5 | 1.04 秒
99. candidate：h8=Q+ | 深度 4 | 5.00 秒
99... material：Kc2 | 深度 5 | 1.50 秒
100. candidate：Kd7 | 深度 4 | 5.00 秒
100... material：Kd3 | 深度 5 | 1.36 秒
101. candidate：Kc8 | 深度 4 | 5.00 秒
101... material：Kc2 | 深度 5 | 1.31 秒
102. candidate：Qf2+ | 深度 4 | 5.00 秒
102... material：Kb3 | 深度 5 | 1.72 秒
103. candidate：Qhd4 | 深度 4 | 5.00 秒
