本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 17/20 盘：王印式，白方 v4，黑方 v3 =====
58... v3：Kxf6 | 深度 5 | 4.66 秒
59. v4：Kd5 | 深度 4 | 5.00 秒
59... v3：Ke7 | 深度 4 | 5.00 秒
60. v4：Bd6+ | 深度 4 | 5.00 秒
60... v3：Kf6 | 深度 4 | 5.00 秒
61. v4：Bf4 | 深度 4 | 5.00 秒
61... v3：Kg7 | 深度 4 | 5.00 秒
62. v4：Ke6 | 深度 4 | 5.00 秒
62... v3：Bd4 | 深度 4 | 5.00 秒
63. v4：Bc4 | 深度 4 | 5.00 秒
63... v3：Nc8 | 深度 4 | 5.00 秒
64. v4：Bf1 | 深度 4 | 5.00 秒
64... v3：Kg8 | 深度 4 | 5.00 秒
65. v4：Bc4 | 深度 4 | 5.00 秒
65... v3：Kh8 | 深度 4 | 5.00 秒
66. v4：Bb5 | 深度 4 | 5.00 秒
66... v3：Kg8 | 深度 4 | 5.00 秒
67. v4：Bc4 | 深度 4 | 5.00 秒
67... v3：Kh8 | 深度 4 | 5.00 秒
68. v4：Kf7 | 深度 4 | 5.00 秒
68... v3：Bc3 | 深度 4 | 5.00 秒
69. v4：Bf1 | 深度 4 | 5.00 秒
69... v3：Bd4 | 深度 4 | 5.00 秒
70. v4：Bb5 | 深度 4 | 5.00 秒
70... v3：Bc3 | 深度 4 | 5.00 秒
71. v4：Bf1 | 深度 4 | 5.00 秒
71... v3：Bd4 | 深度 4 | 5.00 秒
