本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 1/20 盘：意大利式，白方 v4，黑方 v3 =====
58. v4：Qxe6+ | 深度 4 | 5.00 秒
58... v3：Kg7 | 深度 4 | 5.00 秒
59. v4：Ba6 | 深度 4 | 5.00 秒
59... v3：Qe5 | 深度 4 | 5.00 秒
60. v4：Qc8 | 深度 4 | 5.00 秒
60... v3：Qe1+ | 深度 3 | 5.00 秒
61. v4：Kh2 | 深度 5 | 3.59 秒
61... v3：Qe5+ | 深度 4 | 5.00 秒
62. v4：Kg1 | 深度 4 | 5.00 秒
62... v3：Qb8 | 深度 3 | 5.00 秒
63. v4：Qd7+ | 深度 4 | 5.00 秒
63... v3：Kh6 | 深度 4 | 5.00 秒
64. v4：Qf5 | 深度 4 | 5.00 秒
64... v3：Qe5 | 深度 4 | 5.00 秒
65. v4：Qxe5 | 深度 4 | 5.00 秒
65... v3：fxe5 | 深度 5 | 2.96 秒
66. v4：f3 | 深度 5 | 3.79 秒
66... v3：e4 | 深度 4 | 5.00 秒
67. v4：Bb5 | 深度 5 | 4.43 秒
67... v3：exf3 | 深度 5 | 4.31 秒
68. v4：gxf3 | 深度 5 | 1.47 秒
68... v3：Rb8 | 深度 5 | 4.74 秒
69. v4：Ba6 | 深度 5 | 1.41 秒
69... v3：Rg8+ | 深度 4 | 5.00 秒
70. v4：Kf2 | 深度 5 | 2.32 秒
70... v3：Kg5 | 深度 4 | 5.00 秒
71. v4：Ke2 | 深度 5 | 1.95 秒
71... v3：Rf8 | 深度 4 | 5.00 秒
72. v4：Kd3 | 深度 5 | 1.76 秒
72... v3：Kf4 | 深度 5 | 2.41 秒
73. v4：Kxd4 | 深度 5 | 1.06 秒
73... v3：Kxf3 | 深度 5 | 2.91 秒
74. v4：Bb5 | 深度 5 | 2.91 秒
74... v3：Rb8 | 深度 5 | 4.83 秒
75. v4：Bc6 | 深度 5 | 1.21 秒
75... v3：Rd8 | 深度 4 | 5.00 秒
76. v4：Bd7 | 深度 5 | 2.20 秒
76... v3：Rf8 | 深度 4 | 5.00 秒
77. v4：Kc5 | 深度 5 | 3.65 秒
77... v3：Rb8 | 深度 4 | 5.00 秒
78. v4：Kc6 | 深度 5 | 1.75 秒
78... v3：d4 | 深度 4 | 5.00 秒
79. v4：Kc7 | 深度 5 | 1.07 秒
79... v3：Rxb7+ | 深度 5 | 1.33 秒
80. v4：Kxb7 | 深度 5 | 0.39 秒
80... v3：d3 | 深度 5 | 0.98 秒
81. v4：Be8 | 深度 5 | 1.46 秒
81... v3：h4 | 深度 5 | 1.11 秒
82. v4：Kb6 | 深度 5 | 2.33 秒
82... v3：d2 | 深度 5 | 2.64 秒
83. v4：Bh5+ | 深度 5 | 2.23 秒
83... v3：Kf2 | 深度 5 | 1.87 秒
84. v4：Kb7 | 深度 5 | 2.29 秒
84... v3：h3 | 深度 5 | 1.83 秒
85. v4：Kc8 | 深度 5 | 1.92 秒
85... v3：h2 | 深度 5 | 0.90 秒
86. v4：Bg4 | 深度 5 | 1.28 秒
86... v3：h1=Q | 深度 5 | 3.65 秒
87. v4：Kb8 | 深度 5 | 2.73 秒
87... v3：Qh8+ | 深度 4 | 5.00 秒
88. v4：Bc8 | 深度 5 | 3.33 秒
88... v3：d1=Q | 深度 4 | 5.00 秒
89. v4：Kc7 | 深度 5 | 4.37 秒
89... v3：Qc2+ | 深度 4 | 5.00 秒
90. v4：Kd6 | 深度 5 | 2.61 秒
90... v3：Qf6+ | 深度 4 | 5.00 秒
91. v4：Be6 | 深度 5 | 2.44 秒
91... v3：Qcf5 | 深度 4 | 5.00 秒
92. v4：Kc6 | 深度 5 | 2.82 秒
92... v3：Q6g6 | 深度 4 | 5.00 秒
93. v4：Kb6 | 深度 5 | 3.92 秒
93... v3：Kf3 | 深度 4 | 5.00 秒
94. v4：Kc6 | 深度 5 | 3.71 秒
94... v3：Qgxe6+ | 深度 4 | 5.00 秒
95. v4：Kb7 | 深度 5 | 1.98 秒
95... v3：Qd7+ | 深度 4 | 5.00 秒
96. v4：Kb6 | 深度 5 | 1.64 秒
96... v3：Qfb5# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE

===== 第 2/20 盘：意大利式，白方 v3，黑方 v4 =====
4. v3：c3 | 深度 3 | 5.00 秒
4... v4：Qf6 | 深度 4 | 5.00 秒
5. v3：d4 | 深度 3 | 5.00 秒
5... v4：exd4 | 深度 4 | 5.00 秒
6. v3：cxd4 | 深度 3 | 5.00 秒
6... v4：Bb4+ | 深度 3 | 5.00 秒
7. v3：Kf1 | 深度 4 | 5.00 秒
7... v4：Ba5 | 深度 3 | 5.00 秒
8. v3：Bd2 | 深度 3 | 5.00 秒
8... v4：Rb8 | 深度 3 | 5.00 秒
9. v3：e5 | 深度 3 | 5.00 秒
9... v4：Qe7 | 深度 4 | 5.00 秒
10. v3：Kg1 | 深度 3 | 5.00 秒
10... v4：Bxd2 | 深度 4 | 5.00 秒
11. v3：Nbxd2 | 深度 3 | 5.00 秒
11... v4：b5 | 深度 4 | 5.00 秒
12. v3：Bb3 | 深度 3 | 5.00 秒
12... v4：Bb7 | 深度 3 | 5.00 秒
13. v3：a3 | 深度 3 | 5.00 秒
13... v4：g6 | 深度 3 | 5.00 秒
14. v3：Qb1 | 深度 3 | 5.00 秒
14... v4：Rd8 | 深度 3 | 5.00 秒
15. v3：Bd5 | 深度 3 | 5.00 秒
15... v4：Na5 | 深度 3 | 5.00 秒
16. v3：Bxb7 | 深度 4 | 5.00 秒
16... v4：Nxb7 | 深度 4 | 5.00 秒
17. v3：a4 | 深度 3 | 5.00 秒
17... v4：b4 | 深度 4 | 5.00 秒
18. v3：Nb3 | 深度 3 | 5.00 秒
18... v4：Qe6 | 深度 4 | 5.00 秒
19. v3：Nc5 | 深度 4 | 5.00 秒
19... v4：Nxc5 | 深度 4 | 5.00 秒
20. v3：dxc5 | 深度 4 | 5.00 秒
20... v4：Qd5 | 深度 4 | 5.00 秒
21. v3：Qc1 | 深度 4 | 5.00 秒
21... v4：Ne7 | 深度 4 | 5.00 秒
22. v3：Qe3 | 深度 3 | 5.00 秒
22... v4：Nf5 | 深度 4 | 5.00 秒
23. v3：Qf4 | 深度 4 | 5.00 秒
23... v4：Qxc5 | 深度 4 | 5.00 秒
24. v3：Rc1 | 深度 3 | 5.00 秒
24... v4：Qb6 | 深度 4 | 5.00 秒
