本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/20 盘：斯拉夫式，白方 v4，黑方 v3 =====
10. v3：e3 | 深度 3 | 5.00 秒
10... v4：Nxd2 | 深度 4 | 5.00 秒
11. v3：Qxd2 | 深度 4 | 5.00 秒
11... v4：Qc7 | 深度 4 | 5.00 秒
12. v3：Nb5 | 深度 4 | 5.00 秒
12... v4：Qb6 | 深度 4 | 5.00 秒
13. v3：a4 | 深度 4 | 5.00 秒
13... v4：Ne4 | 深度 4 | 5.00 秒
14. v3：Qb2 | 深度 3 | 5.00 秒
14... v4：f6 | 深度 3 | 5.00 秒
15. v3：Bd3 | 深度 3 | 5.00 秒
15... v4：a6 | 深度 4 | 5.00 秒
16. v3：a5 | 深度 4 | 5.00 秒
16... v4：Qe6 | 深度 4 | 5.00 秒
17. v3：Na7 | 深度 4 | 5.00 秒
17... v4：Ra8 | 深度 4 | 5.00 秒
18. v3：Bxe4 | 深度 4 | 5.00 秒
18... v4：dxe4 | 深度 4 | 5.00 秒
19. v3：d5 | 深度 4 | 5.00 秒
19... v4：Qg4 | 深度 4 | 5.00 秒
20. v3：b5 | 深度 4 | 5.00 秒
20... v4：Rxa7 | 深度 4 | 5.00 秒
21. v3：Nd4 | 深度 4 | 5.00 秒
21... v4：Qxg2 | 深度 4 | 5.00 秒
22. v3：Rf1 | 深度 4 | 5.00 秒
22... v4：Bxb5 | 深度 3 | 5.00 秒
23. v3：Nxb5 | 深度 4 | 5.00 秒
23... v4：axb5 | 深度 5 | 3.26 秒
24. v3：Qxb5+ | 深度 4 | 5.00 秒
24... v4：Kf7 | 深度 5 | 2.46 秒
25. v3：Qb6 | 深度 4 | 5.00 秒
25... v4：Ra6 | 深度 5 | 3.00 秒
26. v3：Qxb7 | 深度 4 | 5.00 秒
26... v4：Rd6 | 深度 5 | 4.80 秒
27. v3：a6 | 深度 4 | 5.00 秒
27... v4：Qf3 | 深度 4 | 5.00 秒
28. v3：a7 | 深度 4 | 5.00 秒
28... v4：Rd8 | 深度 4 | 5.00 秒
29. v3：a8=Q | 深度 3 | 5.00 秒
29... v4：Rxa8 | 深度 5 | 2.05 秒
30. v3：Rxa8 | 深度 4 | 5.00 秒
30... v4：g5 | 深度 4 | 5.00 秒
31. v3：d6 | 深度 4 | 5.00 秒
31... v4：Bg7 | 深度 4 | 5.00 秒
32. v3：Rxh8 | 深度 4 | 5.00 秒
32... v4：Bxh8 | 深度 5 | 1.98 秒
33. v3：Qxe7+ | 深度 5 | 4.42 秒
33... v4：Kg6 | 深度 5 | 0.92 秒
34. v3：d7 | 深度 5 | 4.15 秒
34... v4：f5 | 深度 5 | 1.59 秒
35. v3：Qe8+ | 深度 4 | 5.00 秒
35... v4：Kh6 | 深度 5 | 0.68 秒
36. v3：Qxh8 | 深度 5 | 3.64 秒
36... v4：Qh5 | 深度 5 | 1.88 秒
37. v3：d8=Q | 深度 4 | 5.00 秒
37... v4：Qf7 | 深度 5 | 3.82 秒
38. v3：h4 | 深度 3 | 5.00 秒
38... v4：Qg6 | 深度 5 | 2.62 秒
39. v3：hxg5+ | 深度 4 | 5.00 秒
39... v4：Kh5 | 深度 5 | 1.76 秒
40. v3：Rg1 | 深度 4 | 5.00 秒
40... v4：h6 | 深度 5 | 4.19 秒
41. v3：Qde8 | 深度 4 | 5.00 秒
41... v4：Kh4 | 深度 5 | 1.16 秒
42. v3：Qxg6 | 深度 4 | 5.00 秒
42... v4：Kh3 | 深度 5 | 1.94 秒
43. v3：Qgxh6# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_08.zip

===== 比赛结束 =====
v4获胜： 0
v3获胜： 2
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_08
