本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 5/20 盘：对称英国式，白方 v4，黑方 v3 =====
57... v3：Bf6 | 深度 5 | 2.39 秒
58. v4：Kd5 | 深度 5 | 2.04 秒
58... v3：Kf5 | 深度 5 | 2.86 秒
59. v4：Nc5 | 深度 5 | 1.38 秒
59... v3：f3 | 深度 5 | 3.20 秒
60. v4：Ne4 | 深度 5 | 1.17 秒
60... v3：Be5 | 深度 5 | 2.72 秒
61. v4：d3 | 深度 5 | 1.03 秒
61... v3：Ba1 | 深度 5 | 2.11 秒
62. v4：Nf2 | 深度 5 | 1.58 秒
62... v3：Bf6 | 深度 5 | 2.59 秒
63. v4：d4 | 深度 5 | 1.05 秒
63... v3：Bg5 | 深度 5 | 1.66 秒
64. v4：Nd1 | 深度 5 | 0.99 秒
64... v3：Bf6 | 深度 5 | 2.72 秒
65. v4：Nf2 | 深度 5 | 1.15 秒
65... v3：Kf4 | 深度 5 | 2.31 秒
66. v4：Nd1 | 深度 5 | 1.33 秒
66... v3：Bh4 | 深度 5 | 3.29 秒
67. v4：Nb2 | 深度 5 | 0.72 秒
67... v3：f2 | 深度 5 | 3.38 秒
68. v4：Nd3+ | 深度 5 | 0.48 秒
68... v3：Kf5 | 深度 5 | 0.53 秒
69. v4：Nxf2 | 深度 5 | 0.53 秒
69... v3：Bxf2 | 深度 5 | 0.70 秒
70. v4：Kc6 | 深度 5 | 0.54 秒
70... v3：Kg4 | 深度 5 | 4.38 秒
71. v4：d5 | 深度 5 | 0.49 秒
71... v3：Be3 | 深度 4 | 5.00 秒
72. v4：d6 | 深度 5 | 1.06 秒
72... v3：Bg5 | 深度 5 | 2.89 秒
73. v4：d7 | 深度 5 | 0.87 秒
73... v3：Bd8 | 深度 5 | 0.73 秒
74. v4：Kb7 | 深度 5 | 0.43 秒
74... v3：Kg3 | 深度 5 | 0.56 秒
75. v4：Kc8 | 深度 5 | 0.21 秒
75... v3：Be7 | 深度 5 | 0.41 秒
76. v4：d8=Q | 深度 5 | 0.19 秒
76... v3：Bxd8 | 深度 5 | 0.26 秒
本盘结果：1/2-1/2，原因：INSUFFICIENT_MATERIAL

===== 第 6/20 盘：对称英国式，白方 v3，黑方 v4 =====
4. v3：Rg1 | 深度 4 | 5.00 秒
4... v4：e5 | 深度 4 | 5.00 秒
5. v3：e4 | 深度 3 | 5.00 秒
5... v4：h5 | 深度 4 | 5.00 秒
6. v3：Qb3 | 深度 4 | 5.00 秒
6... v4：h4 | 深度 4 | 5.00 秒
7. v3：Be2 | 深度 3 | 5.00 秒
7... v4：Rh5 | 深度 3 | 5.00 秒
8. v3：Kd1 | 深度 3 | 5.00 秒
8... v4：Ng4 | 深度 4 | 5.00 秒
9. v3：h3 | 深度 4 | 5.00 秒
9... v4：Nxf2+ | 深度 4 | 5.00 秒
10. v3：Ke1 | 深度 5 | 4.21 秒
10... v4：Nxh3 | 深度 4 | 5.00 秒
11. v3：gxh3 | 深度 4 | 5.00 秒
11... v4：d6 | 深度 4 | 5.00 秒
12. v3：Nh2 | 深度 3 | 5.00 秒
12... v4：Nd4 | 深度 4 | 5.00 秒
13. v3：Qd1 | 深度 4 | 5.00 秒
13... v4：Rh8 | 深度 4 | 5.00 秒
14. v3：Ng4 | 深度 4 | 5.00 秒
14... v4：g5 | 深度 4 | 5.00 秒
15. v3：Rf1 | 深度 4 | 5.00 秒
15... v4：Be7 | 深度 4 | 5.00 秒
16. v3：Nd5 | 深度 4 | 5.00 秒
16... v4：Nxe2 | 深度 4 | 5.00 秒
17. v3：Qxe2 | 深度 4 | 5.00 秒
17... v4：Bxg4 | 深度 5 | 4.43 秒
18. v3：hxg4 | 深度 4 | 5.00 秒
18... v4：h3 | 深度 4 | 5.00 秒
19. v3：Qd3 | 深度 4 | 5.00 秒
19... v4：h2 | 深度 4 | 5.00 秒
20. v3：Rh1 | 深度 4 | 5.00 秒
20... v4：Rh4 | 深度 4 | 5.00 秒
21. v3：Ne3 | 深度 4 | 5.00 秒
21... v4：Rh3 | 深度 4 | 5.00 秒
22. v3：Qb3 | 深度 3 | 5.00 秒
22... v4：Qd7 | 深度 4 | 5.00 秒
23. v3：a4 | 深度 4 | 5.00 秒
23... v4：Qxg4 | 深度 3 | 5.00 秒
24. v3：Qb5+ | 深度 4 | 5.00 秒
24... v4：Qd7 | 深度 5 | 1.91 秒
25. v3：a5 | 深度 4 | 5.00 秒
25... v4：a6 | 深度 4 | 5.00 秒
26. v3：Qb3 | 深度 4 | 5.00 秒
26... v4：g4 | 深度 4 | 5.00 秒
27. v3：Qd3 | 深度 3 | 5.00 秒
27... v4：Qc6 | 深度 3 | 5.00 秒
28. v3：Qd5 | 深度 3 | 5.00 秒
28... v4：g3 | 深度 4 | 5.00 秒
29. v3：Nf5 | 深度 4 | 5.00 秒
29... v4：Bf8 | 深度 4 | 5.00 秒
30. v3：Ra3 | 深度 4 | 5.00 秒
30... v4：g2 | 深度 5 | 2.82 秒
31. v3：Qxc6+ | 深度 5 | 2.93 秒
31... v4：bxc6 | 深度 5 | 0.46 秒
32. v3：Kf2 | 深度 5 | 2.14 秒
32... v4：gxh1=Q | 深度 5 | 3.08 秒
33. v3：Rxh3 | 深度 5 | 3.14 秒
33... v4：Qg1+ | 深度 5 | 3.89 秒
34. v3：Kf3 | 深度 5 | 2.34 秒
34... v4：h1=Q+ | 深度 5 | 4.03 秒
35. v3：Rxh1 | 深度 5 | 0.48 秒
35... v4：Qxh1+ | 深度 5 | 1.46 秒
36. v3：Ke3 | 深度 5 | 4.08 秒
36... v4：Qxc1 | 深度 5 | 3.74 秒
37. v3：b3 | 深度 4 | 5.00 秒
37... v4：Rb8 | 深度 4 | 5.00 秒
38. v3：Ke2 | 深度 5 | 2.89 秒
38... v4：Rxb3 | 深度 4 | 5.00 秒
39. v3：Ne3 | 深度 5 | 4.40 秒
39... v4：Rb2 | 深度 4 | 5.00 秒
40. v3：Nf1 | 深度 5 | 3.82 秒
40... v4：Qxc4+ | 深度 4 | 5.00 秒
41. v3：Kf2 | 深度 5 | 3.67 秒
41... v4：Qxe4 | 深度 4 | 5.00 秒
42. v3：Kg3 | 深度 5 | 4.20 秒
42... v4：Bh6 | 深度 4 | 5.00 秒
43. v3：Kf2 | 深度 5 | 4.90 秒
43... v4：Qd3 | 深度 4 | 5.00 秒
44. v3：Kg2 | 深度 4 | 5.00 秒
44... v4：Qe2+ | 深度 4 | 5.00 秒
45. v3：Kg3 | 深度 5 | 2.29 秒
45... v4：Qxf1 | 深度 4 | 5.00 秒
46. v3：Kg4 | 深度 5 | 3.70 秒
46... v4：Bxd2 | 深度 4 | 5.00 秒
47. v3：Kg3 | 深度 5 | 2.05 秒
47... v4：Rb4 | 深度 4 | 5.00 秒
48. v3：Kh2 | 深度 5 | 1.20 秒
48... v4：Bf4# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_03.zip

===== 比赛结束 =====
v4获胜： 1
v3获胜： 0
和棋： 1
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_03
